Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
358,0,0,0,26,8.463
359,0,0,0,28,8.372
360,0,0,0,29,8.323
361,0,0,4,19,8.851
362,0,0,0,27,8.415
363,0,0,1,24,8.638
364,0,0,0,19,9.021
365,0,0,0,20,8.95
366,0,1,1,28,7.85
367,0,1,1,23,8.436
368,0,0,1,18,9.211
369,0,0,0,28,8.301
370,0,0,1,25,8.409
371,0,0,1,26,8.322
372,0,0,0,18,9.033
373,0,0,1,22,8.879
374,0,1,1,24,8.627
375,0,0,0,23,8.865
376,0,0,1,26,8.415
377,0,0,0,20,8.847
378,0,0,0,26,8.503
379,0,1,1,24,8.758
380,0,0,0,26,8.369
381,0,0,0,24,8.538
382,0,0,0,34,7.785
383,0,0,0,24,8.551
384,0,0,0,24,8.548
385,0,0,1,24,8.693
386,0,0,1,25,8.483
387,0,0,0,28,8.273
388,0,1,0,20,9.015
389,0,0,1,24,8.779
390,0,0,3,25,8.551
391,0,0,0,17,9.106
392,0,0,0,25,8.696
393,0,0,1,26,8.409
394,0,0,0,18,9.11
395,0,0,0,25,8.622
396,0,1,0,14,9.446
397,0,0,0,27,8.235
398,0,0,0,23,8.674
399,0,0,0,20,8.989
400,0,0,0,20,9.143
401,0,1,2,24,7.895
402,0,0,0,30,8.219
403,1,1,1,23,8.434
404,0,1,2,17,8.844
405,0,0,1,21,8.778
406,0,0,0,25,8.451
407,0,0,1,30,8.18
408,0,0,1,24,8.498
409,0,0,1,18,9.011
410,0,0,2,25,8.524
411,0,1,0,24,8.228
412,1,0,0,25,8.49
413,1,0,0,24,8.801
414,0,0,1,19,8.892
415,0,0,0,27,8.401
416,0,1,0,23,8.783
417,0,0,0,17,9.09
418,0,1,0,23,8.618
419,0,1,0,31,7.797
420,0,0,2,21,8.963
421,0,0,1,25,8.574
422,0,0,0,26,8.389
423,0,0,0,23,8.688
424,0,1,1,28,7.911
425,0,0,0,18,9.16
426,0,1,1,26,8.358
427,0,2,0,24,8.759
428,0,0,1,21,8.804
429,0,0,1,23,8.635
430,0,0,1,25,8.401
431,0,0,0,25,8.695
432,0,0,1,20,8.7
433,0,0,0,22,8.768
434,0,0,0,30,8.213
435,0,2,0,23,8.039
436,0,0,1,19,9.023
437,0,0,0,23,8.692
438,0,0,0,24,8.559
