Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,65,5.862
2,0,0,1,65,5.875
3,0,0,1,66,5.948
4,0,1,1,66,5.938
5,0,0,0,65,5.823
6,0,1,0,65,5.822
7,0,0,1,65,5.822
8,0,0,1,65,5.891
9,0,0,2,65,5.855
10,0,0,1,64,5.751
11,0,0,0,65,5.843
12,0,0,0,66,5.877
13,0,1,1,65,5.868
14,0,0,2,65,5.827
15,0,0,1,66,5.945
16,0,0,0,65,5.876
17,0,0,0,65,5.839
18,0,0,0,67,6.044
19,0,0,0,66,5.873
20,0,1,0,66,5.924
21,0,0,2,65,5.881
22,0,0,0,65,5.848
23,0,0,0,65,5.834
24,0,0,0,66,5.935
25,0,0,1,65,5.862
26,0,0,0,67,6.087
27,0,0,2,65,5.867
28,0,0,1,65,5.826
29,0,0,0,65,5.855
30,0,0,1,66,5.879
31,0,0,3,65,5.883
32,0,0,0,65,5.83
33,0,0,0,66,5.975
34,0,0,2,66,5.942
35,0,2,1,62,5.594
36,0,0,0,66,5.905
37,0,0,0,65,5.847
38,0,0,0,65,5.861
39,0,0,0,66,5.958
40,0,0,0,66,5.928
41,0,0,0,65,5.86
42,0,0,0,65,5.835
43,0,0,1,65,5.784
44,0,0,0,65,5.837
45,0,0,1,66,5.938
46,0,0,0,65,5.865
47,0,0,0,65,5.826
48,0,1,0,65,5.863
49,0,1,0,65,5.847
50,0,0,1,66,5.959
51,0,1,0,63,5.688
52,0,0,1,66,5.924
53,0,0,1,66,5.971
54,0,0,0,65,5.885
55,0,0,1,65,5.874
56,0,0,0,65,5.818
57,0,0,0,66,5.95
58,0,0,0,66,5.916
59,0,0,0,65,5.789
60,0,0,0,66,5.949
61,0,0,0,65,5.809
62,0,2,0,64,5.801
63,0,0,0,65,5.867
64,0,0,3,65,5.811
65,0,0,0,65,5.848
66,0,0,0,66,5.933
67,0,2,0,63,5.677
68,0,0,0,65,5.857
69,0,0,1,65,5.799
70,0,0,0,66,5.951
71,0,0,1,65,5.846
72,0,0,0,66,5.919
73,0,0,0,66,5.946
74,0,1,1,65,5.851
75,0,0,1,66,5.967
76,0,0,2,65,5.84
77,0,0,0,66,5.958
78,0,0,1,67,6.034
79,0,0,1,65,5.817
80,0,1,1,64,5.788
81,0,1,0,66,5.917
82,0,0,0,65,5.854
83,0,0,4,66,5.939
84,0,0,0,66,5.936
85,0,0,2,65,5.873
86,0,1,0,64,5.766
87,0,1,0,65,5.841
88,0,1,0,66,5.901
89,0,0,0,66,5.957
90,0,0,1,65,5.847
91,0,0,0,66,5.969
92,0,0,1,65,5.889
93,0,0,0,67,6.009
94,0,0,0,65,5.857
95,0,0,0,66,5.939
96,0,0,2,65,5.868
97,0,1,0,63,5.66
98,0,0,0,66,5.952
99,0,0,0,65,5.869
100,0,1,0,64,5.728
101,0,0,0,65,5.846
102,0,0,0,65,5.837
103,0,0,0,66,5.942
104,0,0,1,65,5.851
105,0,1,0,64,5.745
106,0,1,1,66,5.972
107,0,0,0,66,5.921
108,0,0,1,66,5.944
109,0,0,1,65,5.865
110,0,0,0,65,5.845
111,0,0,0,67,6.067
112,0,0,1,66,5.936
113,0,0,0,65,5.837
114,0,0,1,65,5.831
115,0,0,1,65,5.867
116,0,2,0,64,5.78
117,0,1,0,64,5.77
118,0,0,0,65,5.849
119,0,0,0,65,5.804
120,0,0,0,65,5.85
121,0,0,1,66,5.967
122,0,0,1,65,5.868
123,0,0,1,65,5.862
124,0,0,0,66,5.953
125,0,1,0,67,6.015
126,0,0,0,65,5.83
127,0,1,0,67,6.004
128,0,0,0,65,5.841
129,0,0,1,65,5.84
130,0,0,0,65,5.844
131,0,0,2,66,5.908
132,0,0,0,66,5.955
133,0,0,0,67,6.068
134,0,0,0,65,5.869
135,0,0,1,65,5.87
136,0,1,1,64,5.766
137,0,0,0,65,5.884
138,0,0,1,66,5.941
139,0,0,1,66,5.936
140,0,0,0,67,6.013
141,0,0,1,66,5.981
142,0,0,0,67,6.07
143,0,0,2,65,5.86
144,0,0,0,65,5.809
145,0,0,0,66,5.937
146,0,0,2,65,5.87
147,0,1,3,65,5.837
148,0,0,1,65,5.859
149,0,1,2,66,5.966
150,0,1,2,65,5.87
151,0,0,0,65,5.869
152,0,0,0,65,5.844
153,0,0,1,65,5.833
154,0,0,0,65,5.881
155,0,0,0,67,6.026
156,0,1,0,65,5.849
157,0,1,0,65,5.839
158,0,0,0,66,5.908
159,0,0,0,65,5.839
160,0,0,0,65,5.815
161,0,0,1,65,5.857
162,0,0,1,66,5.939
163,0,0,0,65,5.873
164,0,0,0,65,5.839
165,0,0,2,67,6.026
166,0,0,0,66,5.903
167,0,0,1,66,5.916
168,0,0,0,65,5.875
169,0,0,1,66,5.943
170,0,0,0,65,5.854
171,0,0,0,65,5.836
172,0,0,1,65,5.864
173,0,0,1,66,5.909
174,0,0,1,66,5.914
175,0,0,0,65,5.852
176,0,0,2,66,5.948
177,0,1,1,65,5.866
178,0,0,0,67,6.043
179,0,0,0,65,5.876
180,0,0,0,65,5.908
181,0,0,1,65,5.808
182,0,0,0,65,5.827
183,0,0,1,65,5.836
184,0,1,1,64,5.776
185,0,0,1,65,5.883
186,0,0,0,65,5.786
187,0,0,1,64,5.761
188,0,1,1,65,5.82
189,0,0,0,65,5.873
190,0,0,0,65,5.855
191,0,0,1,67,6.021
192,0,0,0,65,5.852
193,0,2,0,67,5.976
194,0,1,0,63,5.638
195,0,0,0,65,5.861
196,0,1,0,66,5.871
197,0,0,0,65,5.869
198,0,0,1,66,5.968
199,0,0,1,65,5.85
200,0,0,1,66,5.922
201,0,0,2,65,5.837
202,0,0,0,65,5.89
203,0,0,0,65,5.861
204,0,0,0,65,5.832
205,0,0,0,66,5.916
206,0,0,0,65,5.815
207,0,0,0,65,5.807
208,0,0,0,66,5.946
209,0,0,0,65,5.797
210,0,0,0,68,6.117
211,0,0,0,66,5.932
212,0,0,0,65,5.85
213,0,2,0,63,5.713
214,0,0,1,66,5.957
215,0,0,0,65,5.806
216,0,0,1,66,5.893
217,0,0,0,67,6.071
218,0,0,0,67,6.039
219,0,0,0,65,5.883
220,0,0,0,65,5.825
221,0,0,1,66,5.937
222,0,0,0,67,6.034
223,0,0,0,65,5.86
224,0,0,0,65,5.823
225,0,0,0,66,5.941
226,0,1,0,66,5.941
227,0,1,0,66,5.912
228,0,0,1,67,6.053
229,0,0,0,67,6.027
230,0,0,1,65,5.832
231,0,1,1,65,5.827
232,0,0,0,65,5.862
233,1,0,1,65,5.837
234,0,0,0,65,5.822
235,0,0,0,65,5.829
236,0,0,0,65,5.833
237,0,0,1,66,5.951
238,0,0,0,65,5.851
239,0,0,1,65,5.861
240,0,0,0,67,6.011
241,0,0,0,65,5.818
242,0,0,1,65,5.837
243,0,1,1,65,5.859
244,0,0,0,65,5.864
245,0,0,0,65,5.859
246,0,0,1,66,5.925
247,0,1,1,63,5.662
248,0,0,2,65,5.865
249,0,0,1,65,5.824
250,0,0,1,65,5.859
251,0,0,0,65,5.849
252,0,0,1,65,5.809
253,0,0,0,67,5.977
254,0,1,0,64,5.772
255,0,1,2,65,5.856
256,0,0,2,66,5.91
257,0,0,1,65,5.845
258,0,0,1,65,5.819
259,0,0,0,65,5.861
260,0,0,0,65,5.866
261,0,0,0,66,5.989
262,0,0,0,66,5.907
263,0,0,1,66,5.965
264,0,0,1,65,5.854
265,0,0,0,65,5.84
266,0,0,2,65,5.934
267,0,0,0,65,5.896
268,0,0,0,66,5.945
269,0,0,1,66,5.968
270,0,0,0,65,5.84
271,0,0,1,65,5.866
272,0,0,1,65,5.83
273,0,0,0,65,5.799
274,0,0,0,67,5.99
275,0,0,1,67,6.003
276,0,1,0,63,5.662
277,0,0,2,65,5.868
278,0,0,0,66,5.965
279,0,0,0,65,5.833
280,0,1,0,65,5.833
281,0,1,0,64,5.792
282,0,0,1,66,5.956
283,0,0,1,65,5.845
284,0,0,1,65,5.865
285,0,0,3,67,6.02
286,0,0,0,65,5.841
287,0,1,0,68,6.13
288,0,0,0,66,5.872
289,0,0,2,65,5.833
290,0,0,0,65,5.87
291,0,0,1,65,5.844
292,0,0,0,65,5.858
293,0,0,0,66,5.947
294,0,0,1,66,5.973
295,0,0,1,65,5.868
296,0,1,1,65,5.819
297,0,0,1,65,5.824
298,0,0,0,65,5.849
299,0,0,0,65,5.873
300,0,0,0,66,5.953
301,0,0,0,66,5.933
302,0,0,0,66,5.954
303,0,0,1,65,5.88
304,0,1,0,67,6.08
305,0,0,0,65,5.841
306,0,0,1,65,5.856
307,0,1,0,65,5.871
308,0,1,0,65,5.89
309,0,1,0,66,5.931
310,0,0,0,65,5.825
311,0,0,0,67,6.044
312,0,0,1,65,5.873
313,0,0,0,65,5.869
314,0,0,0,65,5.882
315,0,0,0,65,5.844
316,0,0,2,65,5.847
317,0,0,2,65,5.84
318,0,0,1,65,5.867
319,0,0,2,65,5.866
320,0,0,1,65,5.874
321,0,0,1,65,5.856
322,0,0,0,65,5.836
323,0,0,1,65,5.833
324,0,1,0,66,5.963
325,0,0,1,65,5.833
326,0,0,1,66,5.927
327,0,0,3,65,5.858
328,0,0,2,66,5.939
329,0,0,0,65,5.851
330,0,0,2,66,5.936
331,0,0,0,66,5.943
332,0,0,1,65,5.835
333,0,0,2,65,5.814
334,0,1,1,66,5.965
335,0,0,0,67,6.036
336,0,1,1,65,5.829
337,0,0,0,65,5.807
338,0,0,0,65,5.843
339,0,1,1,63,5.687
340,0,0,0,65,5.772
341,0,1,0,65,5.846
342,0,0,0,65,5.851
343,0,0,0,65,5.877
344,0,0,0,65,5.883
345,0,0,0,65,5.817
346,0,0,0,65,5.84
347,0,0,0,65,5.819
348,0,0,0,65,5.843
349,0,0,0,65,5.86
350,0,0,0,65,5.842
351,0,2,2,64,5.716
352,0,0,1,66,5.976
353,0,0,0,65,5.835
354,0,0,1,65,5.856
355,0,1,0,65,5.828
356,0,0,0,67,6.068
357,0,0,1,65,5.814
358,0,0,0,65,5.83
359,0,2,1,62,5.572
360,0,0,0,67,6.018
361,0,0,1,66,5.931
362,0,0,0,65,5.865
363,0,0,1,65,5.863
364,0,1,1,66,5.926
365,0,0,1,65,5.839
366,0,0,0,66,5.921
367,0,0,0,65,5.844
368,0,0,0,65,5.857
369,0,0,0,65,5.882
370,0,0,1,65,5.881
371,0,0,1,66,5.908
372,0,0,1,65,5.847
373,0,0,0,66,5.969
374,0,0,0,66,5.916
375,0,0,1,65,5.872
376,0,0,0,65,5.814
377,0,0,2,65,5.813
378,0,0,0,66,5.963
