Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,14,9.308
2,0,0,0,7,9.819
3,0,0,1,15,9.098
4,0,1,0,16,9.127
5,0,1,1,14,9.265
6,0,1,0,16,9.117
7,0,0,0,16,9.119
8,0,0,0,20,8.708
9,0,0,0,13,9.549
10,0,1,1,14,9.292
11,0,0,0,15,8.844
12,0,0,0,16,9.08
13,0,0,1,11,9.371
14,0,0,0,18,8.88
15,0,0,1,12,9.302
16,0,0,1,15,9.069
17,0,0,0,15,9.255
18,0,0,2,15,8.974
19,0,0,0,9,9.522
20,0,0,0,17,8.993
21,0,0,0,11,9.5
22,0,0,0,18,8.995
23,0,0,0,14,9.116
24,0,0,1,16,9.042
25,0,0,0,13,9.287
26,0,0,2,10,9.601
27,0,0,1,16,9.052
28,0,0,1,18,8.936
29,0,0,0,14,9.408
30,0,0,1,23,8.559
31,0,0,1,22,8.587
32,0,0,1,18,8.926
33,0,0,0,12,9.362
34,0,0,0,14,9.335
35,0,0,1,19,8.839
36,0,0,1,16,9.035
37,0,0,1,18,8.928
38,0,0,0,13,9.315
39,0,0,1,14,9.338
40,0,0,0,9,9.606
41,0,1,0,12,9.12
42,0,0,0,17,8.999
43,0,0,0,14,9.233
44,0,0,0,15,9.132
45,0,0,1,19,8.896
46,0,0,0,16,9.194
47,0,0,0,17,8.966
48,0,0,2,17,9.018
49,0,0,0,14,9.176
50,0,0,1,12,9.444
51,0,1,1,17,9.085
52,0,0,2,13,9.265
53,0,0,0,16,9.062
54,0,0,1,15,9.109
55,0,0,0,17,8.966
56,0,0,0,12,9.328
57,0,0,1,15,8.936
58,0,0,0,14,9.291
59,0,0,0,23,8.785
60,0,0,0,18,9.052
61,0,0,1,17,9.077
62,0,0,0,14,9.186
63,0,0,0,14,9.263
64,0,0,0,17,8.986
65,0,0,0,17,8.96
66,0,1,0,11,8.982
67,0,1,1,18,8.341
68,0,1,0,17,8.857
69,0,0,0,20,8.872
70,0,1,0,11,9.091
71,0,0,0,8,9.628
72,0,0,0,13,9.424
73,0,0,1,15,9.118
74,0,0,1,9,9.476
75,0,0,1,20,8.939
76,0,0,0,17,8.995
77,0,0,0,20,8.728
78,0,0,0,13,9.367
79,0,0,0,15,9.156
80,0,0,1,19,8.965
