Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,44,7.54
2,0,0,0,49,7.244
3,0,0,0,49,7.049
4,0,1,1,48,7.078
5,0,0,0,53,6.791
6,0,0,0,51,6.873
7,0,0,0,55,6.67
8,0,0,0,50,6.963
9,0,0,0,50,7.053
10,0,0,0,54,6.647
11,0,0,0,44,7.533
12,0,0,0,49,7.283
13,0,0,2,55,6.487
14,0,0,0,51,6.702
15,0,1,0,48,6.905
16,0,0,0,49,7.06
17,0,0,0,50,6.956
18,0,0,0,58,6.514
19,0,0,0,46,7.273
20,0,0,2,54,6.693
21,0,0,0,46,7.478
22,0,0,1,49,7.111
23,0,0,2,50,6.891
24,0,0,2,48,7.092
25,0,0,0,52,6.772
26,0,0,3,48,6.885
27,0,0,0,48,7.281
28,0,0,1,50,7.085
29,0,0,0,55,6.649
30,0,1,0,52,6.716
31,0,0,1,49,6.86
32,0,1,0,49,7.141
33,0,0,0,53,6.737
34,0,0,1,51,6.861
35,0,0,1,54,6.651
36,0,0,0,56,6.618
37,0,0,0,53,6.754
38,0,0,1,51,7.133
39,0,0,0,51,6.904
40,0,0,0,50,7.112
41,0,0,0,44,7.283
42,0,0,0,51,6.902
43,0,0,0,46,7.397
44,0,0,0,51,6.883
45,0,0,1,60,6.325
46,0,0,0,55,6.718
47,0,0,1,52,6.883
48,0,0,0,56,6.393
49,0,0,1,49,6.948
50,0,0,0,52,6.593
51,0,0,0,53,6.797
52,0,0,0,53,6.958
53,0,0,0,52,6.906
54,0,0,0,49,7.198
55,0,0,1,53,6.634
56,0,0,0,53,6.888
57,0,0,0,48,7.137
58,0,0,0,46,7.351
59,0,0,2,50,7.01
60,0,1,3,51,6.562
61,0,0,1,55,6.573
62,0,0,0,52,7.032
63,0,0,0,50,7.14
64,0,0,0,52,6.744
65,0,0,0,53,6.954
66,0,1,1,51,6.598
67,0,0,0,53,6.848
68,0,0,0,49,7.148
69,0,1,1,50,6.777
70,0,2,1,53,6.883
71,0,1,0,51,6.802
72,0,2,0,49,6.723
73,0,0,0,49,7.074
74,0,0,0,50,6.956
75,0,0,0,57,6.433
76,0,1,0,51,6.739
77,0,0,1,53,6.731
78,0,0,2,50,6.872
79,0,0,0,57,6.527
80,0,0,0,57,6.423
81,0,2,0,53,6.648
82,0,0,1,54,6.577
83,0,0,0,50,6.943
84,0,0,0,53,6.749
85,0,0,0,52,6.949
86,0,0,0,54,6.709
87,0,1,1,52,6.799
88,0,0,0,51,6.881
89,0,0,2,45,7.453
90,0,0,0,51,7.153
91,0,0,2,50,7.136
92,0,0,0,52,6.696
93,0,0,0,54,6.808
94,0,0,0,50,7.136
95,0,0,0,49,7.052
96,0,0,1,52,6.884
97,0,0,0,55,6.546
98,0,0,0,51,6.901
99,0,0,0,48,7.306
100,0,0,2,52,6.795
101,0,0,2,44,7.362
102,0,0,0,51,7.096
103,0,0,0,52,6.994
104,0,0,1,54,6.668
105,0,0,2,52,6.878
106,0,1,1,46,6.893
107,0,0,0,51,6.891
108,0,1,3,50,6.782
109,0,1,1,44,6.936
110,0,0,0,50,7.033
111,0,0,1,52,6.953
112,0,0,0,48,7.122
113,0,0,1,52,7.15
114,0,0,0,53,6.76
115,0,0,0,57,6.499
116,0,0,0,56,6.499
117,0,0,1,53,6.757
118,0,2,0,52,6.811
119,0,0,0,54,6.875
120,0,0,1,49,7.069
121,0,0,1,52,6.677
122,0,0,1,52,6.903
123,0,0,0,51,6.94
124,0,0,0,51,6.802
125,0,0,2,49,7.047
126,0,0,1,52,6.898
127,0,0,1,55,6.75
128,0,0,0,51,6.897
129,0,0,0,50,7.144
130,0,0,0,47,7.199
131,0,0,0,52,6.717
132,0,0,0,48,7.164
133,0,0,0,47,7.103
134,0,0,0,52,6.71
135,0,0,0,54,6.94
136,0,0,2,50,7.098
137,0,0,0,55,6.57
138,0,0,1,49,7.005
139,0,0,1,54,6.77
140,0,0,0,47,7.185
141,0,0,1,52,6.784
142,0,0,2,45,7.161
143,0,0,0,51,6.901
144,0,1,1,47,7.288
145,0,0,1,46,7.368
146,0,1,0,54,6.504
147,0,0,1,48,7.175
148,0,1,0,48,7.36
149,0,0,0,48,7.102
150,0,0,0,53,6.635
151,0,0,0,52,6.907
152,0,0,0,56,6.65
153,0,1,0,50,6.668
154,0,1,0,50,6.666
155,0,0,0,52,6.862
156,0,1,0,47,6.855
157,0,0,1,53,6.733
158,0,0,1,50,7.059
159,0,0,1,57,6.398
160,0,0,2,50,6.84
161,0,0,0,53,6.661
162,0,0,1,52,6.878
163,0,0,1,52,7.119
164,0,0,1,54,6.652
165,0,0,0,55,6.596
166,0,0,0,47,7.196
167,0,0,0,51,6.807
168,0,0,1,48,7.13
169,0,1,1,50,6.508
170,0,0,0,49,7.098
171,0,0,0,50,6.934
172,0,0,1,48,7.163
173,0,0,1,52,6.651
174,0,1,0,52,6.862
175,0,0,2,49,7.097
176,0,0,0,55,6.596
177,0,0,0,54,6.799
178,0,0,2,47,7.259
179,0,0,0,49,7.091
180,0,0,1,51,6.803
181,0,0,0,54,6.658
182,0,0,0,50,7.007
183,0,0,1,54,6.716
184,0,0,1,50,6.855
185,0,0,0,50,6.957
186,0,0,0,52,6.98
187,0,1,0,49,7.064
188,0,0,1,51,7.111
189,0,0,0,53,6.885
190,0,0,0,51,6.967
191,0,0,0,53,6.78
192,0,1,0,53,6.898
193,0,1,1,46,7.031
194,0,0,0,55,6.719
195,0,0,2,49,7.124
196,0,0,1,44,7.422
197,0,0,0,54,6.606
198,0,0,0,56,6.487
199,0,0,0,53,6.789
200,0,0,0,54,6.618
201,0,0,2,55,6.867
202,0,0,1,51,6.889
203,0,0,0,53,6.882
204,0,0,0,54,6.89
205,0,0,0,54,6.607
206,0,0,0,50,6.873
207,0,0,0,50,7.114
208,0,0,0,49,7.147
209,0,0,0,55,6.739
210,0,0,3,51,6.953
211,0,0,0,55,6.586
212,0,0,1,51,6.875
213,0,0,0,50,6.862
214,0,0,0,54,6.582
215,0,0,0,51,6.843
216,0,0,0,50,6.901
217,0,1,2,48,6.578
218,0,0,0,52,6.782
219,0,0,2,50,6.887
220,0,1,0,45,7.096
221,0,0,0,53,6.906
222,0,0,0,49,7.067
223,0,0,0,53,6.756
224,0,0,0,49,7.171
225,0,0,0,51,6.918
226,0,0,0,54,6.711
227,0,0,0,50,7.114
228,0,0,1,53,6.615
229,0,0,0,50,6.886
230,0,0,1,54,6.587
231,0,0,3,49,6.923
232,0,0,0,48,7.1
233,1,1,0,49,6.58
234,0,0,1,55,6.764
235,0,0,1,53,6.681
236,0,1,0,55,6.565
237,0,0,0,48,7.305
238,0,0,0,48,7.039
239,0,0,0,54,6.627
240,0,0,0,54,6.756
241,0,0,1,49,7.136
242,0,0,0,50,7.232
243,0,0,0,51,6.959
244,0,0,0,57,6.393
245,0,0,0,56,6.718
246,0,0,0,51,6.732
247,0,0,0,51,6.865
248,0,4,0,49,6.493
249,0,0,0,52,6.864
250,0,0,0,54,6.716
251,0,0,0,51,7.116
252,0,1,0,49,7.121
253,0,0,2,52,6.772
254,0,0,0,51,7.136
255,0,0,0,57,6.562
256,0,0,0,49,6.979
257,0,0,0,49,7.046
258,0,0,0,52,6.893
259,0,0,2,51,6.986
260,0,0,0,49,7.003
261,0,0,0,53,6.823
262,1,0,0,51,6.909
263,0,1,0,52,6.831
264,0,0,0,46,7.291
265,0,0,0,45,7.266
266,0,0,1,54,6.727
267,0,1,0,49,6.785
268,0,0,0,55,6.526
269,0,0,1,51,7.004
270,0,0,1,51,6.713
271,0,0,0,49,7.197
272,0,0,1,43,7.639
273,0,0,0,51,6.912
274,0,0,0,47,7.39
275,0,1,0,49,7.19
276,0,0,0,54,6.83
277,0,0,0,55,6.633
278,0,0,0,50,7.009
279,0,0,1,55,6.567
280,0,0,1,53,6.727
281,0,0,1,49,6.893
282,0,0,0,53,6.859
283,0,0,0,55,6.751
284,0,1,0,51,6.515
285,0,0,2,46,7.149
286,0,0,1,52,6.798
287,0,0,0,54,6.696
288,0,1,0,50,6.699
289,0,0,1,51,6.712
290,0,0,1,49,6.94
291,0,0,0,55,6.671
292,0,0,0,48,7.304
293,0,1,0,50,7.173
294,0,0,0,51,6.872
295,0,0,1,54,6.622
296,0,1,0,49,7.135
297,0,0,1,46,7.089
298,0,0,1,54,6.581
299,0,0,1,52,6.79
300,0,1,2,51,7.029
301,0,0,1,48,6.971
302,0,0,2,51,6.783
303,0,1,1,51,6.971
304,0,0,0,52,6.907
305,0,0,1,51,6.925
306,0,0,0,52,6.782
307,0,0,0,54,6.567
308,0,0,1,50,6.918
309,0,0,0,50,7.071
310,0,2,0,47,6.667
311,0,0,0,50,6.956
312,0,0,3,50,6.793
313,0,0,0,52,6.695
314,0,1,3,51,6.585
315,0,1,0,45,6.981
316,0,0,1,52,6.921
317,0,0,0,52,6.917
318,0,0,1,53,6.832
319,1,1,1,51,6.745
320,0,0,0,46,6.951
321,0,0,1,53,6.875
322,0,0,0,53,6.839
323,0,0,0,52,6.905
324,0,0,0,53,6.971
325,0,0,0,54,6.744
326,0,0,0,50,6.851
327,0,0,2,48,7.065
328,0,1,2,43,7.179
329,0,0,0,59,6.401
330,0,0,0,49,7.096
331,0,0,0,50,7.145
332,0,0,0,52,6.816
333,1,0,1,47,7.164
334,0,0,1,52,6.749
335,0,0,1,51,6.936
336,0,0,2,51,6.822
337,0,0,1,54,6.709
338,0,0,0,55,6.58
339,0,0,0,46,7.269
340,0,1,0,46,7.436
341,0,1,0,50,6.931
342,0,0,0,44,7.56
343,0,0,1,47,7.223
344,0,0,2,52,7.001
345,0,0,0,56,6.526
346,0,0,1,46,7.237
347,0,0,1,52,6.92
348,0,0,0,51,6.633
349,0,1,0,51,6.786
350,0,0,0,52,6.947
351,0,0,1,51,6.993
352,0,0,1,56,6.556
353,0,0,1,48,7.258
354,0,0,0,53,6.704
355,0,0,0,47,7.496
356,0,0,1,48,7.227
357,0,0,0,51,7.046
358,0,1,0,51,6.869
359,0,0,2,54,6.56
360,0,1,0,48,7.322
361,0,0,0,53,6.985
362,0,0,0,49,7.105
363,0,0,0,50,6.954
364,0,0,0,51,6.837
365,0,0,0,51,6.951
366,0,0,0,55,6.728
367,0,0,1,53,6.734
368,0,0,0,47,7.319
369,0,0,0,55,6.594
370,0,0,0,52,6.94
371,0,1,0,58,6.567
372,0,0,0,50,6.988
373,0,0,0,47,7.215
374,0,1,0,51,6.892
375,0,0,0,54,6.823
376,0,0,0,51,7.001
377,0,0,0,52,6.991
378,0,1,3,51,6.481
379,0,0,0,52,6.834
380,0,0,0,55,6.703
381,0,1,0,47,6.898
382,0,0,1,51,6.965
383,0,0,1,49,7.251
384,0,0,0,51,6.923
385,0,0,1,46,7.443
386,0,1,0,54,6.208
387,0,0,0,55,6.733
388,0,1,1,53,6.725
389,0,0,0,54,6.647
390,0,1,0,56,6.312
391,0,0,0,51,7.045
392,0,0,2,55,6.615
393,0,1,1,48,6.684
394,0,0,0,50,7.074
395,0,0,0,55,6.717
396,0,1,0,49,6.993
397,0,0,2,52,6.55
398,0,0,0,48,7.147
399,0,1,0,50,6.686
400,0,0,0,52,7.06
401,0,0,1,54,6.67
402,0,0,2,48,7.13
403,0,0,0,54,6.831
404,0,1,0,57,6.52
405,0,1,0,52,6.846
406,0,0,1,47,6.775
