Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,0,0,7.869
2,0,0,0,0,7.835
3,0,0,0,0,7.774
4,0,0,0,0,7.842
5,0,1,0,0,7.614
6,0,0,0,0,7.847
7,0,0,0,0,7.78
8,0,0,0,0,7.836
9,0,0,1,0,7.829
10,0,1,1,0,7.564
11,0,0,1,0,7.82
12,0,0,2,0,7.677
13,0,0,0,0,7.872
14,0,0,1,0,7.803
15,0,0,0,0,7.809
16,0,0,0,0,7.822
17,0,0,1,0,7.787
18,0,0,1,0,7.811
19,0,0,1,0,7.793
20,0,0,0,0,7.861
21,1,0,1,0,0.805
22,0,0,0,0,7.825
23,0,0,0,0,7.801
24,0,0,1,0,7.734
25,0,1,0,0,7.606
26,0,0,1,0,7.813
27,0,0,0,0,7.81
28,0,0,1,0,7.806
29,0,0,0,0,7.832
30,0,0,0,0,7.86
31,0,0,0,0,7.809
32,0,1,0,0,7.555
33,0,1,2,0,7.675
34,0,1,2,0,7.608
35,0,0,1,0,7.771
36,0,0,0,0,7.861
37,0,0,0,0,7.828
38,0,0,0,0,7.788
39,0,0,0,0,7.87
40,0,1,0,0,7.671
41,0,0,0,0,7.826
42,0,0,3,0,7.695
43,0,0,0,0,7.777
44,1,0,1,0,4.692
45,0,0,2,0,3.161
46,0,0,1,0,7.821
47,0,0,1,0,7.857
48,0,0,1,0,7.773
49,0,1,0,0,7.668
50,0,0,0,0,7.843
51,0,0,1,0,7.786
52,0,0,0,0,7.785
53,0,0,1,0,7.828
54,0,0,0,0,7.829
55,0,0,0,0,7.85
56,0,0,0,0,7.88
57,0,0,1,0,7.788
58,0,1,1,0,7.502
59,0,1,0,0,7.722
60,0,0,0,0,7.833
61,0,0,0,0,7.845
62,0,0,1,0,7.806
63,0,0,0,0,7.777
64,0,0,1,0,7.83
65,0,0,0,0,7.834
66,0,0,0,0,7.806
67,1,1,1,0,0
68,0,0,0,0,7.535
69,0,0,0,0,7.838
70,0,0,1,0,7.833
71,0,1,2,0,7.592
72,0,0,0,0,7.893
73,0,0,0,0,7.806
74,0,1,2,0,7.624
75,0,0,0,0,7.823
76,0,0,0,0,7.811
77,0,0,0,0,7.813
78,0,1,0,0,7.527
79,0,1,0,0,7.782
80,0,0,0,0,7.771
81,0,0,0,0,7.868
82,0,0,0,0,7.777
83,0,0,0,0,7.838
84,0,0,0,0,7.832
85,0,0,0,0,7.836
86,0,0,0,0,7.818
87,0,0,0,0,7.854
88,0,0,0,0,7.796
89,0,1,0,0,7.507
90,0,0,0,0,7.852
91,0,0,2,0,7.717
92,0,0,0,0,7.81
93,0,0,0,0,7.804
94,0,0,0,0,7.816
95,0,0,0,0,7.802
96,0,0,1,0,7.854
97,0,0,0,0,7.814
98,0,0,1,0,7.844
99,0,0,0,0,7.815
100,0,0,1,0,7.764
101,0,0,0,0,7.788
102,0,1,0,0,7.814
103,0,0,0,0,7.894
104,0,0,1,0,7.771
105,0,1,1,0,7.794
106,0,0,0,0,7.843
107,0,0,0,0,7.824
108,0,0,1,0,7.764
109,0,0,1,0,7.825
110,0,0,0,0,7.842
111,0,0,0,0,7.895
112,0,0,0,0,7.826
113,0,0,0,0,7.803
114,0,1,0,0,7.592
115,0,0,1,0,7.8
116,0,0,1,0,7.874
117,0,1,0,0,7.479
118,0,0,1,0,7.851
