Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,41,6.521
2,0,0,0,36,6.793
3,0,0,0,31,6.93
4,0,0,1,33,6.736
5,0,1,0,30,6.789
6,0,0,1,40,6.557
7,0,0,0,34,7.078
8,0,0,0,38,6.616
9,0,0,0,34,6.768
10,0,0,1,41,6.655
11,0,0,0,34,6.877
12,0,0,0,33,7.15
13,0,0,0,36,6.842
14,0,0,1,33,6.949
15,0,0,1,38,6.803
16,0,0,0,37,6.747
17,0,0,1,38,6.539
18,0,0,1,32,7.029
19,0,1,1,38,6.568
20,0,1,1,30,6.815
21,0,0,0,34,6.892
22,0,0,1,35,6.764
23,0,2,0,34,6.966
24,0,0,1,38,6.669
25,0,1,0,37,6.33
26,0,0,1,34,6.904
27,0,1,0,30,6.949
28,0,0,0,36,6.985
29,0,0,1,34,6.791
30,0,0,0,38,6.565
31,0,0,0,34,6.914
32,0,0,0,35,6.894
33,0,0,0,36,6.756
34,0,0,0,35,6.908
35,0,0,2,35,6.785
36,0,1,0,33,6.78
37,0,0,0,33,7.272
38,0,1,1,30,6.752
39,0,0,0,41,6.507
40,0,0,0,37,6.733
41,0,0,0,31,7.254
42,0,0,2,35,6.96
43,0,0,1,34,6.8
44,0,0,1,40,6.632
45,0,0,1,32,7.012
46,0,1,0,38,6.431
47,0,0,1,39,6.504
48,0,0,0,31,7.244
49,0,0,0,35,6.885
50,0,1,1,34,6.81
51,0,0,1,38,6.821
52,0,0,1,34,6.905
53,0,0,0,36,6.836
54,0,0,0,33,6.977
55,0,0,1,33,6.786
56,0,0,0,40,6.392
57,0,0,1,35,7.068
58,0,1,0,34,6.569
59,0,0,1,33,6.903
60,0,0,1,35,6.943
61,0,0,0,39,6.581
62,0,0,1,28,7.531
63,0,1,0,34,6.795
64,0,0,2,33,6.966
65,0,0,0,30,7.206
66,0,0,0,30,7.122
67,0,0,0,31,7.116
68,0,0,0,33,6.958
69,0,0,2,34,6.839
70,0,0,0,36,6.796
71,0,0,0,40,6.732
72,0,0,0,38,6.616
73,0,0,0,37,6.693
74,0,0,1,36,6.886
75,0,0,0,27,7.307
76,0,0,0,42,6.448
77,0,0,1,34,6.783
78,0,0,1,37,6.749
79,0,0,0,40,6.691
80,0,0,0,33,6.847
81,0,0,1,35,6.951
82,0,0,0,34,6.837
83,0,0,1,26,7.66
84,0,1,0,39,6.299
85,0,2,1,36,6.396
86,0,0,2,39,6.468
87,0,0,0,34,6.914
88,0,0,0,36,6.744
89,0,0,0,33,7.106
90,0,0,0,41,6.338
91,0,0,1,36,6.822
92,0,0,0,35,6.773
93,0,0,1,37,6.732
94,0,1,0,34,6.989
95,0,0,0,34,6.916
96,0,0,1,31,7.121
97,0,0,0,37,6.699
98,0,0,0,40,6.572
99,0,0,0,38,6.737
100,0,0,1,35,6.814
101,0,0,1,37,6.556
102,0,0,0,32,7.108
103,0,1,0,38,6.577
104,0,0,0,28,7.441
105,0,0,2,30,7.193
106,0,0,0,39,6.452
107,0,1,1,36,6.68
108,0,0,0,36,6.645
109,0,1,0,38,6.275
110,0,0,0,34,6.966
111,0,0,0,37,6.765
112,0,0,1,35,6.89
113,0,0,2,40,6.392
114,0,0,0,36,6.771
115,0,0,2,37,6.816
116,0,0,2,35,6.748
117,0,0,1,31,7.192
118,0,0,0,35,6.81
119,0,0,0,35,6.885
120,0,0,0,42,6.359
121,0,0,0,36,6.613
122,0,0,2,31,7.196
123,0,0,1,40,6.356
124,0,0,0,33,7.072
125,0,0,0,34,6.955
126,0,0,0,33,6.863
127,0,0,0,35,6.807
128,0,0,0,38,6.744
129,0,0,0,32,6.979
130,0,0,0,34,6.992
131,0,0,0,37,6.821
132,0,0,0,35,6.844
133,0,0,1,38,6.921
134,0,1,0,30,6.971
135,0,0,0,40,6.701
136,0,0,1,31,7.169
137,0,0,1,34,6.996
138,0,0,0,28,7.569
139,0,0,0,39,6.579
140,0,0,1,36,6.704
141,0,0,1,35,6.575
142,0,0,0,34,6.933
143,0,0,1,40,6.692
144,0,0,0,36,6.731
