Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,0,8.18
2,0,0,0,0,8.082
3,0,0,1,0,8.182
4,0,0,1,0,8.135
5,0,1,1,0,7.845
6,0,0,2,0,8.031
7,0,0,0,0,8.155
8,0,0,0,0,8.2
9,0,0,0,0,8.135
10,0,0,1,0,8.238
11,0,0,1,0,8.135
12,0,0,0,0,8.222
13,0,1,1,0,7.845
14,0,0,1,0,8.16
15,0,1,0,0,7.782
16,0,0,0,0,8.161
17,0,0,1,0,8.17
18,0,0,1,0,8.218
19,0,0,0,0,8.139
20,0,0,1,0,8.122
21,0,0,1,0,8.203
22,0,0,0,0,8.147
23,0,1,1,0,8.074
24,0,0,0,0,8.121
25,0,0,0,0,8.198
26,0,0,0,0,8.173
27,0,0,0,0,8.2
28,0,1,0,0,7.95
29,0,0,1,0,8.09
30,0,0,1,0,8.156
31,0,0,0,0,8.177
32,0,0,1,0,8.205
33,0,0,2,0,8.177
34,0,0,0,0,8.22
35,0,0,1,0,8.238
36,0,0,0,0,8.209
37,0,0,0,0,8.18
38,0,0,0,0,8.205
39,0,0,1,0,8.204
40,0,1,0,0,7.898
41,0,0,1,0,8.097
42,0,0,0,0,8.185
43,0,1,0,0,8.116
44,0,0,0,0,8.148
45,0,0,0,0,8.234
46,0,0,0,0,8.173
47,0,0,2,0,8.122
48,0,1,0,0,8.041
49,0,0,0,0,8.222
50,0,0,1,0,8.197
51,0,0,0,0,8.204
52,0,0,1,0,8.21
53,0,0,0,0,8.117
54,0,0,0,0,8.172
55,0,0,0,0,8.224
56,0,1,0,0,7.955
57,0,0,1,0,8.118
58,0,0,0,0,8.163
59,0,0,0,0,8.225
60,0,1,0,0,7.918
61,0,0,0,0,8.149
62,0,1,1,0,7.705
63,0,0,2,0,8.076
64,0,1,1,0,8.185
65,0,0,2,0,8.11
66,0,0,1,0,8.231
67,0,0,1,0,8.087
68,0,1,0,0,7.833
69,0,1,0,0,7.854
70,0,1,3,0,7.777
71,0,1,0,0,8.036
72,0,0,1,0,8.095
73,0,0,0,0,8.194
74,0,0,0,0,8.171
75,0,0,1,0,8.218
76,0,0,1,0,8.079
77,0,0,0,0,8.165
78,0,0,1,0,8.177
79,0,0,1,0,8.101
80,0,0,0,0,8.17
81,0,0,3,0,8.111
82,0,0,0,0,8.184
83,0,0,0,0,8.176
84,0,0,0,0,8.201
85,0,0,2,0,8.053
86,0,0,1,0,8.12
87,0,1,0,0,7.968
88,0,0,0,0,8.203
89,0,0,2,0,8.1
90,0,0,0,0,8.209
91,0,1,0,0,7.802
92,0,0,1,0,8.165
93,0,0,1,0,8.166
94,0,1,0,0,8.101
95,0,0,1,0,8.093
96,0,0,0,0,8.231
97,0,0,1,0,8.185
98,0,0,0,0,8.206
99,0,0,2,0,8.142
100,0,0,0,0,8.194
101,0,0,0,0,8.12
102,0,0,0,0,8.223
103,0,0,0,0,8.181
104,0,0,0,0,8.226
105,0,0,1,0,8.133
106,0,0,0,0,8.164
107,0,0,0,0,8.181
108,0,0,1,0,8.226
109,0,0,1,0,8.142
110,0,0,1,0,8.181
111,0,2,0,0,7.899
112,0,0,0,0,8.242
113,0,0,2,0,8.152
114,0,0,0,0,8.13
115,0,0,0,0,8.236
116,0,0,1,0,8.131
117,0,0,0,0,8.194
118,0,0,0,0,8.205
119,0,0,1,0,8.148
120,0,0,0,0,8.154
121,0,0,0,0,8.166
122,0,0,1,0,8.186
123,0,1,0,0,7.73
124,0,1,2,0,7.842
125,0,1,2,0,7.644
126,0,0,0,0,8.099
127,0,0,1,0,8.132
128,0,0,1,0,8.156
129,0,0,0,0,8.162
130,0,1,0,0,8.023
131,0,0,0,0,8.199
132,0,0,0,0,8.166
133,0,0,2,0,8.166
134,0,1,1,0,7.801
135,0,0,0,0,8.19
136,0,0,0,0,8.22
137,0,2,1,0,7.756
138,0,0,0,0,8.189
139,0,0,1,0,8.158
140,0,0,0,0,8.181
141,0,0,1,0,8.151
142,0,0,0,0,8.136
143,0,0,0,0,8.175
144,0,0,0,0,8.249
145,0,0,1,0,8.174
146,0,0,0,0,8.164
147,0,0,0,0,8.176
148,0,0,0,0,8.274
149,0,0,1,0,8.184
150,0,0,1,0,8.13
151,0,0,1,0,8.141
152,0,1,0,0,7.986
153,0,0,0,0,8.227
154,0,0,2,0,8.091
155,0,0,0,0,8.206
156,0,0,0,0,8.215
157,0,0,1,0,8.194
158,0,1,0,0,7.918
159,0,0,0,0,8.208
160,0,0,1,0,8.159
161,0,0,0,0,8.198
162,0,0,0,0,8.188
163,0,0,1,0,8.211
164,0,0,1,0,8.152
165,0,0,0,0,8.22
166,0,0,2,0,8.19
167,0,0,1,0,8.097
168,0,0,1,0,8.182
169,0,0,0,0,8.227
170,0,0,1,0,8.093
171,0,0,0,0,8.224
172,0,0,0,0,8.147
173,0,0,0,0,8.244
174,0,0,0,0,8.156
175,0,0,0,0,8.219
176,0,0,0,0,8.216
177,0,0,0,0,8.167
178,0,0,0,0,8.228
179,0,0,1,0,8.196
180,0,0,0,0,8.115
181,0,0,0,0,8.176
182,0,0,0,0,8.193
183,0,0,1,0,8.201
184,0,0,0,0,8.197
185,0,0,0,0,8.209
186,0,0,1,0,8.171
187,0,0,0,0,8.115
188,0,0,0,0,8.197
189,0,1,1,0,7.932
190,0,0,0,0,8.222
191,0,0,1,0,8.175
192,0,0,2,0,8.147
193,0,0,1,0,8.113
194,0,0,0,0,8.183
195,0,0,1,0,8.203
196,0,0,1,0,8.146
197,0,0,1,0,8.205
198,0,1,1,0,7.62
199,0,0,1,0,8.196
200,0,0,0,0,8.185
201,0,0,0,0,8.171
202,0,0,0,0,8.229
203,0,0,0,0,8.222
204,0,0,1,0,8.212
205,0,0,2,0,8.14
206,0,0,0,0,8.161
207,0,0,0,0,8.165
208,0,0,0,0,8.247
209,0,0,0,0,8.208
210,0,0,0,0,8.235
211,0,0,0,0,8.166
212,0,1,2,0,7.95
213,0,0,0,0,8.196
214,0,0,2,0,8.142
215,0,1,0,0,7.913
216,0,0,0,0,8.161
217,0,0,0,0,8.185
218,0,1,1,0,7.854
219,0,0,1,0,8.187
220,0,0,0,0,8.235
221,0,0,0,0,8.207
222,0,1,1,0,8.085
223,0,0,0,0,8.184
224,0,0,0,0,8.212
225,0,0,0,0,8.202
226,0,1,0,0,7.921
227,0,0,0,0,8.187
228,0,0,1,0,8.225
229,0,0,1,0,8.18
230,0,0,0,0,8.195
231,0,1,0,0,8.032
232,0,0,1,0,8.162
233,1,1,1,0,0.32
234,0,1,1,0,8.069
235,0,1,1,0,7.938
236,0,0,0,0,8.164
237,0,0,0,0,8.14
238,0,1,0,0,7.912
239,0,1,0,0,7.78
240,0,0,1,0,8.146
241,0,0,1,0,8.08
242,0,0,0,0,8.18
243,0,0,0,0,8.215
244,0,0,0,0,8.198
245,0,0,1,0,8.188
246,0,0,0,0,8.232
247,0,0,0,0,8.152
248,0,0,2,0,8.183
249,0,0,0,0,8.117
250,0,0,1,0,8.206
251,0,0,1,0,8.201
252,0,0,0,0,8.188
253,0,0,1,0,8.221
254,0,0,0,0,8.226
255,0,0,1,0,8.207
256,1,0,0,0,3.352
257,0,0,0,0,8.19
258,0,0,0,0,8.242
259,0,0,3,0,8.11
260,0,1,0,0,7.921
261,0,0,1,0,8.169
262,0,0,1,0,8.191
263,0,0,0,0,8.177
264,0,1,0,0,8.08
265,0,1,0,0,8.022
266,0,0,1,0,8.237
267,0,0,0,0,8.215
268,0,0,0,0,8.182
269,0,0,2,0,8.163
270,0,0,0,0,8.17
271,0,0,1,0,8.116
272,0,0,1,0,8.198
273,0,1,0,0,7.909
274,0,0,0,0,8.215
275,0,0,1,0,8.229
276,0,0,0,0,8.186
277,0,0,0,0,8.232
278,0,0,1,0,8.067
279,0,0,1,0,8.209
280,0,0,0,0,8.166
281,0,0,0,0,8.179
282,0,0,0,0,8.174
283,0,1,0,0,7.795
284,0,0,1,0,8.145
285,0,0,0,0,8.177
286,0,0,1,0,8.209
287,0,0,0,0,8.223
288,0,0,0,0,8.188
289,0,0,0,0,8.16
290,0,0,0,0,8.208
291,0,0,1,0,8.189
292,0,0,0,0,8.168
293,0,0,0,0,8.153
294,0,0,0,0,8.166
295,0,0,1,0,8.169
296,0,0,0,0,8.232
297,0,0,0,0,8.207
298,0,0,0,0,8.165
299,0,0,0,0,8.211
300,0,0,1,0,8.179
301,0,0,1,0,8.168
302,0,0,0,0,8.12
303,0,0,0,0,8.14
304,0,1,1,0,8.075
305,0,0,1,0,8.122
306,0,1,0,0,8.082
307,0,0,0,0,8.218
308,0,0,1,0,8.159
309,0,0,0,0,8.169
310,0,0,0,0,8.222
311,0,0,1,0,8.209
312,0,0,0,0,8.212
313,0,1,1,0,8.125
314,0,0,0,0,8.153
315,0,0,0,0,8.214
316,0,0,0,0,8.232
317,0,0,1,0,8.132
318,0,0,0,0,8.211
319,0,0,0,0,8.218
320,0,1,0,0,8.073
321,0,0,0,0,8.188
322,0,0,0,0,8.189
323,0,0,0,0,8.166
324,0,0,0,0,8.15
325,0,0,1,0,8.169
326,0,1,0,0,7.715
327,0,0,0,0,8.15
328,0,0,0,0,8.147
329,0,0,2,0,8.128
330,0,0,0,0,8.151
331,0,0,0,0,8.191
332,0,0,1,0,8.206
333,0,0,1,0,8.006
334,0,0,0,0,8.117
335,0,0,0,0,8.15
336,0,0,0,0,8.126
337,0,0,0,0,8.157
338,0,0,0,0,8.185
339,0,0,1,0,8.184
340,0,0,0,0,8.176
341,0,2,0,0,7.677
342,0,0,0,0,8.186
343,0,1,0,0,8.022
344,0,0,0,0,8.148
345,0,0,0,0,8.166
346,0,0,0,0,8.206
347,0,0,0,0,8.204
348,0,0,0,0,8.152
349,0,0,0,0,8.213
350,0,0,0,0,8.135
351,0,0,1,0,8.146
352,0,0,1,0,8.156
353,0,0,0,0,8.188
354,0,0,1,0,8.21
355,0,0,1,0,8.092
356,0,2,1,0,7.582
357,0,0,1,0,8.137
358,0,1,0,0,7.801
