Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,0,12,8.13
2,0,0,0,8,8.204
3,0,0,0,13,8.12
4,0,0,0,7,8.252
5,0,1,0,17,7.349
6,0,0,0,8,8.238
7,0,0,0,12,8.007
8,0,0,0,6,8.4
9,0,0,1,11,8.072
10,0,0,0,6,8.588
11,0,1,1,8,8.022
12,0,0,0,5,8.55
13,0,0,2,10,8.17
14,0,0,1,9,8.314
15,0,0,2,15,7.902
16,0,0,1,9,8.188
17,0,1,0,7,8.028
18,0,1,0,7,8.046
19,0,0,1,9,8.229
20,0,0,0,9,8.137
21,1,1,0,0,0
22,0,0,1,7,8.045
23,0,0,0,14,8.208
24,0,0,1,14,7.992
25,0,0,2,14,7.929
26,0,0,0,7,8.225
27,0,0,2,8,8.248
28,0,0,2,10,8.144
29,0,0,0,7,8.372
30,0,0,0,10,8.182
31,0,1,0,6,8.256
32,0,0,0,9,8.249
33,0,1,0,6,8.087
34,0,0,1,8,8.399
35,0,0,1,11,8.163
36,0,1,0,7,8.041
37,0,0,0,13,7.967
38,0,1,0,9,8.02
39,0,0,1,7,8.444
40,0,0,1,11,8.11
41,0,0,0,10,8.193
42,0,0,2,6,8.333
43,0,0,0,6,8.502
44,0,0,1,10,8.079
45,0,0,1,9,8.135
46,0,0,0,11,8.108
47,0,0,1,9,8.174
48,0,0,0,8,8.399
49,0,1,0,10,8.115
50,0,0,1,11,8.217
51,0,0,0,10,8.27
52,0,0,0,8,8.387
53,0,0,0,7,8.429
54,0,1,0,11,7.743
55,0,0,0,14,7.982
56,0,0,1,14,8.151
57,0,0,0,11,8.132
58,0,1,1,7,8.054
59,0,0,0,9,8.16
60,0,0,1,6,8.327
61,0,1,0,13,8.006
62,1,0,1,7,5.234
63,0,1,2,7,4.436
64,0,0,0,7,8.573
65,0,0,2,8,8.26
66,0,0,1,10,8.179
67,0,0,0,8,8.174
68,0,0,1,12,8.133
69,0,0,0,17,7.828
70,0,0,0,8,8.411
71,0,0,0,6,8.27
72,0,0,0,8,8.345
73,0,0,0,13,7.948
74,0,0,0,10,8.039
75,0,0,0,7,8.293
76,0,0,0,13,8.002
77,0,0,0,10,8.232
