Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,0,8.538
2,0,0,1,0,8.466
3,0,0,2,0,8.455
4,0,0,0,0,8.485
5,0,1,0,0,8.13
6,0,0,1,0,8.549
7,0,0,0,0,8.476
8,0,0,0,0,8.523
9,0,0,0,0,8.555
10,0,2,0,0,7.936
11,0,0,0,0,8.507
12,0,0,2,0,8.541
13,0,0,0,0,8.468
14,0,0,0,0,8.488
15,0,0,0,0,8.523
16,0,1,0,0,8.383
17,0,0,0,0,8.483
18,0,1,0,0,8.336
19,0,0,0,0,8.541
20,0,0,0,0,8.542
21,0,0,0,0,8.48
22,0,1,1,0,8.226
23,0,0,2,0,8.427
24,0,0,1,0,8.455
25,0,1,2,0,8.109
26,0,0,1,0,8.436
27,0,0,0,0,8.478
28,0,0,1,0,8.455
29,0,0,0,0,8.472
30,0,0,0,0,8.503
31,0,0,1,0,8.473
32,0,0,0,0,8.496
33,0,0,0,0,8.552
34,0,0,1,0,8.52
35,0,1,1,0,8.305
36,0,0,0,0,8.512
37,0,0,1,0,8.503
38,0,1,1,0,8.359
39,0,0,2,0,8.379
40,0,0,0,0,8.487
41,0,0,0,0,8.528
42,0,0,0,0,8.503
43,0,0,1,0,8.469
44,0,1,1,0,8.181
45,0,0,2,0,8.477
46,0,0,1,0,8.37
47,0,0,1,0,8.485
48,0,0,1,0,8.541
49,0,0,0,0,8.502
50,0,0,0,0,8.489
51,0,0,0,0,8.507
52,0,0,0,0,8.488
53,0,0,0,0,8.534
54,0,1,1,0,8.36
55,0,0,0,0,8.387
56,0,0,0,0,8.451
57,0,0,1,0,8.459
58,0,0,0,0,8.522
59,0,0,0,0,8.481
60,0,0,3,0,8.507
61,0,1,0,0,8.227
62,0,0,1,0,8.481
63,0,0,1,0,8.459
64,0,0,0,0,8.549
65,0,0,0,0,8.477
66,0,0,1,0,8.516
67,0,0,0,0,8.453
68,0,0,0,0,8.518
69,0,0,1,0,8.489
70,0,1,0,0,8.118
71,0,0,0,0,8.499
72,0,0,1,0,8.506
73,0,0,1,0,8.379
74,0,0,1,0,8.413
75,0,0,0,0,8.519
76,0,0,0,0,8.498
77,0,0,1,0,8.529
78,0,0,1,0,8.383
79,0,0,0,0,8.499
80,0,0,2,0,8.329
81,0,0,0,0,8.465
82,0,1,0,0,8.368
83,0,0,1,0,8.468
84,0,0,1,0,8.49
85,0,0,2,0,8.277
86,0,0,0,0,8.518
87,0,0,0,0,8.501
88,0,0,2,0,8.422
89,0,0,1,0,8.484
90,0,0,0,0,8.493
91,0,0,1,0,8.515
92,0,0,0,0,8.536
93,0,0,0,0,8.494
94,0,0,1,0,8.479
95,0,1,1,0,8.414
96,0,0,0,0,8.416
97,0,0,0,0,8.43
98,0,0,0,0,8.519
99,0,0,1,0,8.515
100,0,0,1,0,8.517
101,0,0,0,0,8.428
102,0,1,0,0,8.065
103,0,0,1,0,8.48
104,0,0,1,0,8.514
105,0,0,2,0,8.43
106,0,1,1,0,8.287
107,0,0,0,0,8.535
108,0,0,1,0,8.506
109,0,0,2,0,8.414
110,0,0,1,0,8.379
111,0,0,0,0,8.512
112,0,0,0,0,8.486
113,0,0,0,0,8.512
114,0,0,0,0,8.517
115,0,0,0,0,8.501
116,0,0,0,0,8.54
117,0,0,0,0,8.506
118,0,0,1,0,8.483
119,0,0,1,0,8.485
120,0,0,1,0,8.482
121,0,0,1,0,8.525
122,0,1,1,0,8.162
123,0,0,0,0,8.497
124,0,0,0,0,8.497
125,0,1,0,0,8.243
126,0,0,0,0,8.543
127,0,1,0,0,8.116
128,0,0,0,0,8.521
129,0,0,0,0,8.482
130,0,0,1,0,8.395
131,0,0,0,0,8.524
132,0,0,0,0,8.505
133,0,0,1,0,8.479
134,0,0,0,0,8.502
135,0,1,1,0,8.367
136,0,0,1,0,8.489
137,0,0,1,0,8.501
138,0,0,0,0,8.54
139,0,0,2,0,8.526
140,0,0,0,0,8.513
141,0,0,0,0,8.483
142,0,0,0,0,8.51
143,0,0,1,0,8.544
144,0,0,1,0,8.442
145,0,0,1,0,8.433
146,0,0,1,0,8.547
147,0,0,1,0,8.501
148,0,0,1,0,8.38
149,0,0,0,0,8.526
150,0,0,1,0,8.553
151,0,0,0,0,8.44
152,0,0,0,0,8.489
153,0,0,0,0,8.557
154,0,0,2,0,8.381
155,0,0,0,0,8.466
156,0,1,0,0,8.382
157,0,1,0,0,8.397
158,0,1,0,0,8.332
159,0,0,0,0,8.558
160,0,1,3,0,8.315
161,0,0,0,0,8.47
162,0,0,1,0,8.468
163,0,0,0,0,8.542
164,0,0,0,0,8.511
165,0,0,0,0,8.53
166,0,0,1,0,8.55
167,0,0,1,0,8.445
168,0,0,0,0,8.512
169,0,0,0,0,8.491
170,0,0,1,0,8.455
171,0,0,1,0,8.381
172,0,0,1,0,8.459
173,0,0,0,0,8.546
174,0,1,1,0,7.981
175,0,0,0,0,8.515
176,0,0,0,0,8.494
177,0,0,2,0,8.487
178,0,0,0,0,8.527
179,0,1,0,0,8.256
180,0,0,1,0,8.446
181,0,0,0,0,8.504
182,0,0,1,0,8.546
183,0,1,0,0,8.309
184,0,0,0,0,8.514
185,0,1,1,0,8.325
186,0,0,1,0,8.43
187,0,1,0,0,8.196
188,0,0,1,0,8.394
