Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,45,6.249
2,0,0,1,44,6.226
3,0,0,0,47,6.214
4,0,0,0,47,6.23
5,0,2,0,48,5.672
6,0,0,0,47,6.26
7,0,0,0,43,6.586
8,0,0,0,45,6.296
9,0,0,0,46,6.129
10,0,1,0,38,6.464
11,0,0,0,45,6.399
12,0,0,0,47,6.447
13,0,0,0,52,5.999
14,0,0,0,49,5.9
15,0,0,0,44,6.354
16,0,0,0,42,6.502
17,0,0,1,47,6.13
18,0,0,0,53,5.771
19,0,0,0,51,5.965
20,0,0,0,47,6.216
21,0,0,0,45,6.452
22,0,1,0,46,5.909
23,0,1,0,42,6.414
24,0,1,1,44,6.142
25,0,1,1,46,5.914
26,0,0,0,48,6.127
27,0,0,1,48,5.993
28,0,0,0,45,6.213
29,0,0,0,43,6.409
30,0,0,1,47,6.148
31,0,0,0,43,6.382
32,0,0,1,43,6.399
33,0,0,1,48,6.163
34,0,0,0,46,6.082
35,0,0,0,50,6.054
36,0,0,0,51,5.854
37,0,0,0,45,6.241
38,0,0,1,45,6.242
39,0,0,0,47,6.201
40,0,0,1,44,6.338
41,0,0,1,45,6.233
42,0,1,1,44,6.425
43,0,0,2,48,6.121
44,0,0,0,46,6.221
45,0,0,0,50,5.971
46,0,0,0,48,6.296
47,0,0,1,49,5.995
48,0,0,0,47,6.247
49,0,0,1,47,6.145
50,0,1,3,49,6.078
51,0,0,0,47,6.376
52,0,0,1,46,6.063
53,0,0,0,46,6.224
54,0,0,2,44,6.525
55,0,0,0,46,6.316
56,0,1,0,46,6.169
57,0,0,0,45,6.325
58,0,0,0,45,6.304
59,0,0,0,50,5.929
60,0,0,0,45,6.533
61,0,0,1,46,6.253
62,0,0,0,45,6.224
63,0,0,2,43,6.39
64,0,0,1,41,6.491
65,0,0,1,43,6.328
66,0,2,1,45,5.538
67,0,0,0,41,6.576
68,0,0,0,45,6.358
69,0,0,0,48,6.317
70,0,0,0,45,6.228
71,0,0,0,43,6.478
72,0,1,0,46,6.077
73,0,1,1,47,6.03
74,0,0,0,45,6.222
75,0,1,0,46,6.004
76,0,0,0,47,6.221
77,0,0,0,50,5.898
78,0,0,0,48,6.081
