Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,0,4,8.657
2,0,0,0,5,8.546
3,0,0,0,7,8.439
4,0,0,0,1,8.79
5,0,1,0,8,8.278
6,0,0,0,2,8.645
7,0,0,0,8,8.324
8,0,0,0,7,8.42
9,0,0,1,4,8.646
10,0,0,0,5,8.513
11,0,0,0,2,8.76
12,0,0,2,7,8.281
13,0,0,1,8,8.34
14,0,0,0,8,8.15
15,0,0,0,5,8.53
16,0,0,0,5,8.502
17,0,0,0,2,8.763
18,0,0,2,7,8.368
19,0,0,1,4,8.58
20,0,1,0,6,8.354
21,1,0,0,0,0.068
22,0,0,1,4,8.49
23,0,0,0,4,8.571
24,0,0,1,8,8.248
25,0,0,0,5,8.477
26,0,1,1,4,8.301
27,0,0,1,5,8.448
28,0,0,1,3,8.617
29,0,0,0,6,8.482
30,0,0,0,3,8.754
31,0,0,0,5,8.582
32,0,0,0,4,8.579
33,0,0,1,7,8.408
34,0,0,0,2,8.698
35,0,0,1,5,8.549
36,0,0,0,10,8.218
37,0,0,0,7,8.32
38,0,0,0,5,8.573
39,0,0,1,4,8.663
40,0,0,0,6,8.516
41,0,0,1,3,8.601
42,0,0,0,7,8.298
43,0,0,0,6,8.457
44,0,0,0,3,8.762
45,0,1,0,5,8.427
46,0,0,1,4,8.516
47,0,0,1,3,8.502
48,0,0,0,4,8.65
49,0,2,1,5,8.03
50,0,0,0,4,8.617
51,0,0,3,5,8.351
52,0,0,0,3,8.514
53,0,0,0,7,8.427
54,0,0,0,6,8.586
55,0,0,1,6,8.503
56,0,0,0,4,8.444
57,0,0,1,4,8.465
58,0,0,0,4,8.591
59,0,0,0,5,8.526
60,0,0,0,5,8.463
61,0,0,2,5,8.353
62,0,0,2,6,8.315
63,0,0,1,6,8.568
64,1,1,1,2,1.702
65,0,0,0,7,8.37
66,0,0,0,5,8.567
67,0,0,0,2,8.741
68,0,0,0,6,8.414
69,0,0,1,3,8.66
70,0,0,0,3,8.667
71,0,1,0,4,8.299
72,0,0,0,3,8.611
73,0,0,0,2,8.776
74,0,0,0,7,8.258
75,0,0,2,4,8.523
76,0,0,0,7,8.392
77,0,0,0,5,8.561
78,0,0,1,3,8.601
79,0,1,0,9,8.061
80,0,1,1,7,7.974
81,0,0,1,3,8.635
82,0,0,0,5,8.537
83,0,0,0,4,8.586
84,0,0,0,8,8.193
85,0,0,1,7,8.382
86,0,0,0,6,8.321
87,0,0,1,3,8.67
88,0,0,0,4,8.564
89,0,0,0,4,8.626
90,0,0,0,3,8.66
91,0,0,0,2,8.626
92,0,0,0,5,8.45
93,0,0,1,6,8.55
94,0,0,0,5,8.558
95,0,0,0,7,8.421
96,0,0,0,5,8.561
97,0,0,3,3,8.557
98,0,1,1,6,8.334
99,0,0,0,3,8.655
100,0,0,0,4,8.612
101,0,0,1,3,8.631
102,0,0,0,4,8.464
103,0,0,1,9,8.117
104,0,0,0,5,8.533
105,0,0,0,4,8.629
106,0,0,1,3,8.588
107,0,0,0,1,8.763
108,0,2,2,1,8
109,0,0,1,5,8.549
110,0,0,1,3,8.586
111,0,1,1,5,8.217
112,0,0,1,2,8.631
113,0,0,1,7,8.261
114,0,0,1,3,8.607
115,0,0,1,5,8.538
116,0,0,0,6,8.403
117,0,2,0,4,8.078
118,0,0,1,5,8.508
