Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,0,0,8.705
2,0,0,0,0,8.571
3,0,0,0,0,8.632
4,0,0,0,0,8.617
5,0,1,0,0,8.234
6,0,0,0,0,8.69
7,0,0,0,0,8.617
8,0,0,0,0,8.651
9,0,0,1,0,8.668
10,0,0,1,0,8.611
11,0,0,1,0,8.645
12,0,1,0,0,8.474
13,0,0,0,0,8.609
14,0,0,0,0,8.661
15,0,0,0,0,8.646
16,0,0,0,0,8.642
17,0,0,1,0,8.676
18,0,1,0,0,8.523
19,0,0,2,0,8.71
20,0,0,0,0,8.653
21,1,0,1,0,0
22,0,0,1,0,8.511
23,0,1,2,0,8.281
24,0,0,0,0,8.607
25,0,0,0,0,8.631
26,0,0,0,0,8.626
27,0,1,0,0,8.293
28,0,0,1,0,8.647
29,0,0,0,0,8.614
30,0,0,0,0,8.655
31,0,0,1,0,8.656
32,0,0,1,0,8.652
33,0,0,1,0,8.694
34,0,0,0,0,8.652
35,0,0,0,0,8.682
36,0,0,0,0,8.652
37,0,0,0,0,8.661
38,0,0,1,0,8.644
39,0,0,1,0,8.611
40,0,0,0,0,8.653
41,0,1,0,0,8.479
42,0,0,1,0,8.637
43,0,0,1,0,8.621
44,0,0,1,0,8.623
45,0,0,1,0,8.541
46,0,0,1,0,8.681
47,0,0,1,0,8.677
48,0,0,0,0,8.692
49,0,0,0,0,8.673
50,0,0,0,0,8.684
51,0,1,1,0,8.366
52,0,0,0,0,8.649
53,0,1,0,0,8.426
54,0,0,0,0,8.7
55,0,0,0,0,8.673
56,0,0,0,0,8.688
57,0,0,0,0,8.648
58,0,0,0,0,8.697
59,0,0,1,0,8.652
60,0,0,1,0,8.609
61,0,0,0,0,8.643
62,0,0,1,0,8.667
63,0,0,0,0,8.651
64,0,0,1,0,8.659
65,1,1,0,0,5.416
66,0,0,0,0,4.086
67,0,0,0,0,8.613
68,0,0,0,0,8.667
69,0,0,0,0,8.638
70,0,0,0,0,8.648
71,0,0,0,0,8.651
72,0,0,1,0,8.63
73,0,0,0,0,8.655
74,0,0,0,0,8.623
75,0,0,0,0,8.619
76,0,0,1,0,8.669
77,0,0,1,0,8.433
78,0,0,1,0,8.598
79,0,0,0,0,8.648
80,0,0,1,0,8.661
81,0,1,1,0,8.375
82,0,0,1,0,8.608
83,0,0,0,0,8.673
84,0,0,1,0,8.697
85,0,0,0,0,8.699
86,0,0,2,0,8.653
87,0,0,0,0,8.611
88,1,0,1,0,3.473
89,0,0,0,0,8.643
90,0,0,0,0,8.667
91,0,0,1,0,8.562
92,0,0,0,0,8.662
93,0,0,0,0,8.699
94,0,0,1,0,8.54
95,0,0,2,0,8.701
96,0,1,1,0,8.58
97,0,0,0,0,8.624
98,0,1,0,0,8.439
99,0,0,0,0,8.667
100,0,0,0,0,8.681
101,0,0,1,0,8.685
102,0,1,1,0,8.43
103,0,0,0,0,8.636
104,0,0,0,0,8.652
105,0,0,1,0,8.708
106,0,0,0,0,8.648
107,0,1,1,0,8.41
108,0,0,0,0,8.652
109,0,0,1,0,8.621
110,0,0,1,0,8.594
111,0,0,0,0,8.689
112,1,0,1,0,1.138
113,0,0,1,0,8.573
114,0,0,0,0,8.692
115,0,0,0,0,8.686
116,0,0,0,0,8.655
117,0,0,0,0,8.652
118,0,0,1,0,8.677
119,0,0,0,0,8.619
120,0,0,2,0,8.589
121,0,0,0,0,8.606
122,0,0,0,0,8.606
123,1,0,0,0,3.267
124,0,1,0,0,8.509
125,0,0,1,0,8.656
126,0,0,1,0,8.644
127,0,0,0,0,8.679
128,0,0,0,0,8.626
129,0,0,1,0,8.635
130,0,2,0,0,8.326
131,0,0,1,0,8.654
132,0,0,1,0,8.713
133,0,0,0,0,8.652
134,0,0,0,0,8.665
135,0,1,1,0,8.389
136,0,0,2,0,8.556
137,0,0,2,0,8.588
138,0,0,0,0,8.619
139,0,0,1,0,8.671
140,0,0,0,0,8.714
141,0,0,1,0,8.527
142,0,0,0,0,8.662
143,0,0,0,0,8.653
144,0,0,0,0,8.72
145,0,0,1,0,8.553
146,0,0,1,0,8.641
147,0,0,1,0,8.661
148,0,1,0,0,8.278
149,0,0,0,0,8.656
150,0,0,0,0,8.617
151,0,0,0,0,8.682
152,0,0,1,0,8.64
153,0,0,0,0,8.644
154,0,0,0,0,8.652
155,0,1,1,0,8.26
156,0,0,0,0,8.579
157,0,1,0,0,8.604
158,0,0,1,0,8.618
159,0,0,0,0,8.676
160,0,0,0,0,8.73
161,0,0,0,0,8.694
162,0,0,0,0,8.66
163,0,1,0,0,8.278
164,0,0,0,0,8.679
165,0,0,0,0,8.673
166,0,0,1,0,8.596
167,0,0,1,0,8.683
168,0,0,0,0,8.676
169,0,0,1,0,8.661
170,0,0,0,0,8.679
171,0,0,0,0,8.661
172,0,0,0,0,8.689
173,0,0,1,0,8.582
174,0,1,0,0,8.462
175,0,0,1,0,8.518
176,0,0,0,0,8.653
177,0,0,1,0,8.699
178,0,0,0,0,8.615
179,0,1,2,0,8.369
180,0,0,0,0,8.614
181,1,0,0,0,1.332
182,0,0,2,0,8.642
183,0,1,0,0,8.57
184,0,0,2,0,8.603
185,0,1,0,0,8.392
186,0,1,0,0,8.48
187,0,0,1,0,8.643
188,0,0,0,0,8.653
189,0,0,1,0,8.585
190,0,0,0,0,8.68
191,0,0,0,0,8.681
192,0,1,1,0,8.422
193,0,0,2,0,8.522
194,0,1,0,0,8.383
195,0,0,1,0,8.577
196,0,0,0,0,8.684
197,0,0,2,0,8.641
198,0,0,1,0,8.658
199,0,1,0,0,8.531
200,0,0,0,0,8.647
201,0,2,0,0,8.193
202,0,0,2,0,8.611
203,0,1,0,0,8.346
204,0,0,1,0,8.598
205,0,0,1,0,8.64
206,0,0,1,0,8.678
207,0,0,0,0,8.624
208,0,0,1,0,8.675
209,0,0,1,0,8.635
210,0,0,1,0,8.621
211,0,0,0,0,8.65
212,0,0,0,0,8.631
213,0,0,0,0,8.691
214,0,0,0,0,8.686
215,0,0,1,0,8.646
216,0,0,1,0,8.692
217,0,0,0,0,8.732
218,0,0,1,0,8.68
219,0,0,1,0,8.581
220,0,0,2,0,8.612
221,0,0,0,0,8.605
222,0,0,2,0,8.704
223,0,0,1,0,8.62
224,0,0,2,0,8.586
225,0,0,1,0,8.691
226,0,0,0,0,8.647
227,0,0,0,0,8.629
228,0,0,1,0,8.64
229,0,2,1,0,8.117
230,0,0,0,0,8.625
231,0,0,1,0,8.665
232,0,0,0,0,8.67
233,0,0,1,0,8.686
234,0,0,1,0,8.575
235,0,0,1,0,8.607
236,0,1,0,0,8.214
237,0,0,1,0,8.712
238,0,0,0,0,8.615
239,0,0,0,0,8.706
240,0,0,1,0,8.645
241,0,0,1,0,8.546
242,0,0,1,0,8.592
243,0,0,0,0,8.666
244,0,0,1,0,8.68
245,0,0,0,0,8.704
246,0,0,0,0,8.672
247,0,0,1,0,8.618
248,0,0,1,0,8.638
249,0,0,1,0,8.615
250,0,0,0,0,8.606
251,0,0,0,0,8.668
252,0,0,0,0,8.678
253,0,1,0,0,8.312
254,0,1,2,0,8.586
255,0,0,0,0,8.644
256,0,0,0,0,8.662
257,0,0,0,0,8.65
258,0,0,0,0,8.682
259,0,1,0,0,8.395
260,0,0,0,0,8.674
261,0,0,0,0,8.696
262,0,0,0,0,8.659
263,0,0,0,0,8.653
264,0,0,0,0,8.673
265,0,1,0,0,8.368
266,0,0,0,0,8.718
267,0,0,0,0,8.693
268,0,0,1,0,8.717
269,0,0,1,0,8.612
270,0,0,0,0,8.627
271,0,0,0,0,8.677
272,0,0,0,0,8.674
273,0,0,2,0,8.567
274,0,0,0,0,8.645
275,0,0,1,0,8.571
276,0,0,1,0,8.68
277,0,0,1,0,8.511
278,0,1,0,0,8.522
279,0,0,0,0,8.732
280,0,0,0,0,8.601
281,0,0,0,0,8.63
282,0,0,0,0,8.666
