Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,0,0,8.799
2,0,0,0,0,8.759
3,0,0,0,0,8.784
4,0,0,0,0,8.75
5,0,1,0,0,8.526
6,0,1,0,0,8.58
7,0,0,0,0,8.724
8,0,0,0,0,8.783
9,0,0,1,0,8.844
10,0,1,0,0,8.485
11,0,2,1,0,8.269
12,0,0,1,0,8.798
13,0,0,0,0,8.755
14,0,0,1,0,8.729
15,0,0,1,0,8.747
16,0,0,0,0,8.704
17,0,0,0,0,8.745
18,0,0,1,0,8.728
19,0,0,0,0,8.818
20,0,1,1,0,8.508
21,1,0,0,0,0.057
22,0,0,0,0,8.779
23,0,0,1,0,8.693
24,0,0,0,0,8.779
25,0,0,1,0,8.769
26,0,0,0,0,8.762
27,0,0,0,0,8.777
28,0,0,0,0,8.79
29,0,0,0,0,8.76
30,0,0,2,0,8.783
31,0,1,1,0,8.492
32,0,0,0,0,8.779
33,0,0,1,0,8.737
34,0,0,0,0,8.808
35,0,0,0,0,8.802
36,0,1,0,0,8.498
37,0,0,1,0,8.752
38,0,0,0,0,8.689
39,0,0,2,0,8.829
40,0,0,0,0,8.762
41,0,0,1,0,8.81
42,0,0,1,0,8.76
43,0,1,0,0,8.579
44,0,0,3,0,8.739
45,0,0,1,0,8.647
46,0,0,2,0,8.689
47,0,0,0,0,8.805
48,0,0,1,0,8.834
49,0,0,2,0,8.647
50,0,0,1,0,8.795
51,0,1,0,0,8.367
52,0,0,0,0,8.801
53,0,0,0,0,8.8
54,0,0,0,0,8.786
55,0,0,2,0,8.695
56,0,1,0,0,8.318
57,0,0,0,0,8.808
58,0,0,0,0,8.74
59,0,0,0,0,8.779
60,0,0,0,0,8.795
61,0,0,0,0,8.742
62,0,0,1,0,8.781
63,0,0,0,0,8.716
64,0,0,0,0,8.745
65,0,1,2,0,8.313
66,0,0,0,0,8.766
67,0,0,0,0,8.756
68,0,0,0,0,8.788
69,0,0,0,0,8.751
70,0,0,0,0,8.766
71,0,0,1,0,8.732
72,1,1,0,0,4.849
73,0,1,1,0,3.545
74,0,1,1,0,8.34
75,0,0,0,0,8.73
76,0,0,0,0,8.797
77,0,0,1,0,8.755
78,0,0,0,0,8.777
79,0,0,0,0,8.773
80,0,0,0,0,8.738
81,0,0,1,0,8.742
82,0,0,1,0,8.77
83,0,0,0,0,8.718
84,0,1,2,0,8.524
85,0,0,0,0,8.73
86,0,0,1,0,8.711
87,0,0,1,0,8.791
88,0,0,1,0,8.673
89,0,0,1,0,8.659
90,0,0,1,0,8.753
91,0,1,1,0,8.214
92,0,0,2,0,8.748
93,0,0,2,0,8.702
94,0,0,0,0,8.893
95,0,0,0,0,8.778
96,0,0,1,0,8.669
97,0,0,0,0,8.748
98,0,1,0,0,8.595
99,0,0,0,0,8.737
100,1,0,0,0,6.047
101,0,0,1,0,3.364
102,0,0,0,0,8.726
103,0,0,0,0,8.777
104,0,0,1,0,8.784
105,0,0,0,0,8.746
106,0,0,1,0,8.737
107,0,0,0,0,8.793
108,0,0,0,0,8.762
109,0,1,1,0,8.58
110,0,0,2,0,8.706
111,0,0,0,0,8.795
112,0,1,1,0,8.418
113,0,0,0,0,8.776
114,0,0,2,0,8.711
115,0,0,1,0,8.762
116,0,1,0,0,8.607
117,0,0,2,0,8.766
118,0,2,0,0,7.969
119,0,0,0,0,8.737
120,0,0,0,0,8.759
121,0,0,0,0,8.76
122,0,0,0,0,8.709
123,0,0,0,0,8.786
124,0,0,0,0,8.707
125,0,0,0,0,8.734
126,0,0,0,0,8.772
127,0,0,1,0,8.764
128,0,0,1,0,8.714
129,0,0,0,0,8.764
130,0,0,1,0,8.846
131,0,0,3,0,8.754
132,0,0,0,0,8.723
133,0,0,1,0,8.679
134,0,0,2,0,8.754
135,0,0,1,0,8.594
136,0,0,0,0,8.794
137,0,0,0,0,8.797
138,0,0,1,0,8.641
139,0,0,0,0,8.818
140,1,0,0,0,2.671
141,0,0,0,0,6.107
142,0,0,1,0,8.731
143,1,0,0,0,6.839
144,0,0,1,0,2.965
145,0,0,0,0,8.784
146,0,0,1,0,8.763
147,0,0,1,0,8.721
148,0,0,0,0,8.746
149,0,0,0,0,8.735
150,0,0,0,0,8.79
151,0,0,1,0,8.822
152,0,0,0,0,8.769
153,0,1,0,0,8.469
154,0,0,1,0,8.719
155,0,1,1,0,8.319
156,0,0,1,0,8.705
157,0,0,0,0,8.836
158,0,0,0,0,8.828
159,0,0,0,0,8.818
160,0,0,0,0,8.793
161,0,0,0,0,8.785
