Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
226,0,0,0,60,5.409
227,0,2,0,57,5.142
228,0,1,1,60,5.381
229,0,0,2,59,5.318
230,0,0,0,60,5.398
231,0,1,1,59,5.233
232,0,0,0,60,5.418
233,0,0,0,60,5.385
234,0,0,1,60,5.39
235,0,1,0,59,5.312
236,0,0,1,60,5.416
237,0,0,0,60,5.419
238,0,0,0,60,5.39
239,0,0,0,60,5.414
240,0,0,1,60,5.4
241,0,0,0,60,5.422
242,0,1,1,59,5.337
243,0,1,0,58,5.218
244,0,0,0,60,5.365
245,0,0,1,60,5.419
246,0,1,0,59,5.271
247,0,0,1,60,5.38
248,0,0,0,60,5.413
249,0,0,0,60,5.407
250,0,1,0,59,5.313
251,0,0,0,60,5.423
252,0,1,0,58,5.238
253,0,0,0,60,5.396
254,0,0,0,60,5.431
255,0,0,0,60,5.42
256,0,0,0,60,5.382
257,0,0,4,60,5.368
258,0,1,0,59,5.313
259,0,0,1,60,5.387
260,0,0,0,59,5.297
261,0,0,1,60,5.448
262,0,0,0,60,5.381
263,0,0,0,60,5.433
264,0,1,0,57,5.145
265,0,0,1,60,5.407
266,0,0,0,60,5.41
267,0,0,0,60,5.41
268,0,0,1,60,5.37
269,0,0,0,60,5.418
270,0,1,0,59,5.337
271,0,0,0,60,5.4
272,0,0,0,60,5.414
273,0,0,0,60,5.348
274,0,0,1,60,5.433
275,0,1,0,59,5.302
276,0,0,0,60,5.425
277,0,1,0,58,5.231
278,0,0,0,60,5.333
279,0,0,0,60,5.383
280,1,1,0,36,3.244
281,0,0,0,34,3.071
282,0,0,1,60,5.436
283,0,0,0,60,5.391
284,0,0,0,60,5.43
285,0,0,1,60,5.41
286,0,0,0,60,5.405
287,0,0,1,60,5.431
288,0,0,0,60,5.418
289,0,0,1,60,5.403
290,0,0,2,60,5.441
291,0,0,0,60,5.392
292,1,0,1,6,0.552
293,0,0,0,60,5.434
294,0,0,0,60,5.437
295,0,0,1,60,5.385
296,0,0,1,59,5.33
297,0,0,1,60,5.431
298,0,0,0,60,5.427
299,0,0,2,60,5.366
300,0,0,1,60,5.399
301,0,0,1,60,5.418
302,0,1,0,60,5.365
303,0,0,1,60,5.422
304,0,0,1,60,5.395
305,0,0,1,60,5.4
306,0,1,0,59,5.266
307,0,0,0,60,5.426
308,0,0,2,60,5.424
309,0,0,0,60,5.409
310,0,0,0,60,5.378
311,0,0,0,60,5.422
312,0,0,0,60,5.407
313,0,0,1,60,5.385
314,0,0,0,60,5.426
315,0,0,0,60,5.412
316,0,0,1,60,5.385
317,0,0,0,60,5.416
318,0,0,0,60,5.366
319,0,0,2,60,5.399
320,1,0,1,46,4.124
321,0,1,0,44,3.964
322,0,0,0,60,5.403
323,0,1,3,60,5.407
324,0,0,0,60,5.423
325,0,0,0,60,5.439
326,0,0,1,60,5.359
327,0,0,0,60,5.374
