Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,0,20,7.658
2,0,0,0,19,7.662
3,0,0,0,22,7.593
4,0,0,0,23,7.425
5,0,1,0,28,6.793
6,0,0,0,20,7.589
7,0,0,0,20,7.731
8,0,0,0,16,7.892
9,0,0,1,27,7.187
10,0,0,0,28,6.998
11,0,0,0,16,7.892
12,0,0,1,21,7.547
13,0,0,0,23,7.418
14,0,0,0,20,7.625
15,0,0,2,22,7.459
16,0,1,1,26,7.087
17,0,0,2,16,7.926
18,0,1,1,21,7.297
19,0,0,0,20,7.541
20,0,1,0,18,7.652
21,1,0,0,0,0
22,0,0,0,20,7.543
23,0,0,1,12,8.19
24,0,0,1,23,7.374
25,0,0,1,24,7.287
26,0,0,0,20,7.549
27,0,0,0,24,7.362
28,0,0,1,26,7.113
29,0,0,0,26,7.295
30,0,0,0,20,7.577
31,0,0,0,21,7.597
32,0,0,0,19,7.766
33,0,0,1,22,7.536
34,0,0,1,18,7.738
35,0,0,0,19,7.704
36,0,1,0,22,7.396
37,0,0,0,26,7.204
38,0,0,2,24,7.313
39,0,0,0,17,8.007
40,0,1,0,18,7.465
41,0,0,0,22,7.567
42,0,0,0,19,7.711
43,0,0,0,22,7.498
44,0,0,0,19,7.685
45,0,0,1,20,7.658
46,0,0,0,17,7.852
47,0,1,1,20,7.445
48,0,0,0,18,7.831
49,0,0,0,16,7.945
50,0,0,0,18,7.7
51,0,0,0,19,7.64
52,0,0,1,26,7.148
53,0,0,2,14,7.964
54,0,0,1,21,7.513
55,0,0,0,24,7.496
56,0,0,0,20,7.703
57,0,0,0,24,7.366
58,0,0,1,20,7.557
59,0,0,0,23,7.557
60,0,1,0,22,7.242
61,0,0,0,27,7.095
62,0,1,0,21,7.235
63,0,0,0,24,7.341
64,0,0,0,19,7.729
65,0,0,0,24,7.263
66,0,0,0,18,7.762
67,0,0,0,25,7.188
68,0,0,1,20,7.579
69,0,0,0,16,7.854
70,0,0,1,25,7.275
71,0,0,0,15,7.951
72,0,0,0,16,7.946
73,0,0,0,22,7.583
74,0,0,1,21,7.496
75,0,1,1,17,7.569
76,0,0,1,23,7.464
77,0,0,1,20,7.523
78,0,1,0,18,7.573
79,0,0,0,24,7.277
80,0,0,1,23,7.374
81,0,0,2,15,7.915
82,0,0,0,19,7.629
83,0,0,0,20,7.521
84,0,0,0,19,7.631
85,0,0,0,20,7.62
86,0,0,0,22,7.513
87,0,0,0,19,7.765
88,0,0,1,19,7.849
89,0,0,0,12,8.118
90,0,0,1,28,7.145
91,0,0,0,20,7.794
92,0,0,2,17,7.813
93,0,0,1,22,7.466
94,0,0,0,19,7.64
95,1,0,0,4,0.936
96,0,0,0,21,6.537
97,0,0,0,23,7.407
98,0,0,0,25,7.339
99,0,0,0,23,7.451
100,0,0,0,18,7.788
101,0,0,1,23,7.394
102,0,0,1,31,6.966
103,0,0,1,25,7.274
104,0,0,1,15,7.978
105,0,0,2,19,7.704
106,0,0,1,18,7.936
107,0,0,1,21,7.583
108,0,0,0,21,7.723
109,0,0,1,23,7.338
110,0,0,0,19,7.671
111,0,0,1,23,7.385
112,0,0,2,14,7.933
113,0,0,0,26,7.244
114,0,0,2,19,7.67
115,0,0,0,16,7.869
116,0,0,0,23,7.31
117,0,0,0,22,7.477
118,0,0,0,18,7.753
119,0,0,0,21,7.573
120,0,0,1,28,6.945
121,0,1,1,24,6.989
122,0,0,0,26,7.242
123,0,1,1,16,7.515
124,0,0,0,27,7.078
125,0,0,1,25,7.2
126,0,0,0,12,8.395
127,0,0,0,21,7.546
128,0,0,0,19,7.713
129,0,0,0,24,7.436
130,0,0,0,24,7.413
131,0,0,1,17,7.751
132,0,1,0,23,7.195
133,0,0,0,25,7.198
134,0,0,1,19,7.623
135,0,0,0,10,8.256
136,0,0,0,21,7.627
137,0,1,1,24,7.326
138,0,0,0,23,7.417
139,0,0,1,31,6.961
140,0,0,0,18,7.738
141,0,0,0,18,7.768
142,0,0,0,28,7.256
143,0,1,0,26,7.145
144,0,1,1,19,7.549
145,0,1,0,19,7.238
146,0,0,0,24,7.501
147,0,1,0,19,7.675
148,0,0,0,23,7.479
149,0,0,0,19,7.676
150,0,0,0,26,7.206
151,0,0,1,26,7.19
152,0,0,0,23,7.476
153,0,0,0,20,7.603
154,0,0,1,15,7.914
155,0,0,0,24,7.295
156,0,0,0,20,7.792
157,0,0,0,28,7.084
158,0,0,2,24,7.507
159,0,0,0,22,7.439
160,0,0,0,16,7.949
161,0,0,0,19,7.668
162,0,0,1,16,7.797
163,0,0,1,19,7.609
164,0,1,0,21,7.176
165,0,0,0,23,7.503
166,0,0,0,23,7.344
167,0,0,1,23,7.471
168,0,0,0,24,7.258
169,0,0,0,21,7.603
170,0,0,0,22,7.528
171,0,0,1,21,7.564
172,0,0,0,26,7.117
173,0,0,0,15,7.872
174,0,0,1,21,7.509
175,0,0,0,20,7.514
176,0,0,1,15,8.035
177,1,0,0,4,1.283
178,0,0,1,23,7.469
179,0,0,0,19,7.808
180,0,0,0,23,7.335
181,0,0,1,20,7.5
182,0,0,0,18,7.79
183,0,0,0,19,7.59
184,0,1,0,18,7.479
185,0,1,0,16,7.596
186,0,0,0,20,7.662
187,0,0,0,19,7.716
188,0,0,2,26,7.174
189,1,0,2,17,6.501
190,0,0,1,11,2.83
191,1,0,1,0,0
192,0,0,0,22,7.329
193,0,0,1,21,7.54
194,0,0,1,20,7.614
195,0,0,2,22,7.342
196,0,0,0,24,7.326
197,0,1,0,23,7.118
198,0,0,2,23,7.449
199,0,0,0,23,7.33
200,0,2,1,17,7.17
201,0,2,1,23,7.086
202,0,0,0,23,7.371
203,0,0,0,15,7.941
204,0,0,0,21,7.742
205,0,0,1,20,7.7
206,0,0,0,20,7.653
207,0,0,3,21,7.461
208,0,0,2,21,7.509
209,0,1,1,19,7.532
210,0,0,0,20,7.532
211,0,0,0,25,7.273
212,0,0,0,26,7.247
213,0,0,1,14,8.077
214,0,0,2,22,7.483
215,0,0,1,26,7.37
216,0,0,1,20,7.526
217,0,1,2,21,7.244
218,0,0,0,19,7.555
219,0,1,0,23,7.162
220,0,0,0,20,7.665
221,0,0,0,28,7.172
222,0,1,1,20,7.136
223,0,0,1,21,7.482
224,0,1,0,18,7.451
225,0,1,0,20,7.226
226,0,0,1,25,7.359
227,0,0,0,19,7.699
228,0,1,0,24,7.025
229,0,0,0,19,7.636
230,0,0,0,18,7.934
231,0,0,2,12,8.122
232,0,0,0,16,7.947
233,0,0,0,22,7.546
234,0,0,0,19,7.709
235,0,0,0,20,7.852
236,0,0,0,24,7.32
237,0,1,1,25,6.871
238,0,0,2,22,7.387
239,0,0,0,20,7.586
240,0,0,0,24,7.444
241,0,0,0,18,7.737
242,0,0,3,25,7.091
243,0,0,0,23,7.517
244,0,1,0,17,7.426
245,0,0,0,19,7.608
246,0,0,1,24,7.476
247,0,0,0,19,7.858
248,0,0,0,18,7.714
249,0,0,0,24,7.334
250,0,0,1,18,7.632
251,0,0,0,23,7.32
252,0,0,1,25,7.229
253,0,0,0,19,7.694
254,1,0,1,9,3.24
255,0,0,1,18,7.116
256,0,0,0,19,7.721
257,0,0,1,27,7.115
258,0,0,0,21,7.46
259,0,0,2,22,7.399
260,1,0,1,11,5.045
261,0,0,1,19,4.15
262,0,0,1,19,7.488
263,0,1,1,20,7.202
264,0,0,0,22,7.433
265,0,0,1,23,7.438
266,0,0,1,16,7.847
267,0,0,0,23,7.433
268,0,0,0,24,7.426
269,0,1,0,15,7.813
270,0,2,0,15,7.612
271,0,0,0,22,7.465
272,0,0,0,16,7.933
273,0,1,0,20,7.244
274,0,0,0,21,7.494
275,0,0,1,16,7.996
276,0,0,0,20,7.53
277,0,1,0,18,7.436
278,0,0,0,17,7.791
279,0,0,0,19,7.708
280,0,0,0,22,7.5
281,0,0,0,20,7.565
282,0,0,0,24,7.367
283,0,0,1,23,7.385
284,0,0,0,20,7.744
285,0,0,0,22,7.549
286,0,0,3,23,7.516
287,0,0,1,20,7.555
288,0,0,1,20,7.589
289,0,0,0,19,7.696
290,0,1,1,18,7.402
291,0,0,0,19,7.635
292,0,1,1,20,7.418
293,0,0,0,19,7.698
294,0,1,2,20,7.48
295,0,0,2,17,7.864
296,0,0,0,21,7.563
297,0,0,2,28,6.968
298,0,1,0,17,7.52
299,0,0,0,22,7.395
300,0,0,0,15,8.051
301,0,0,0,11,8.224
302,0,0,0,27,7.366
303,0,0,0,20,7.679
304,0,0,1,22,7.333
305,0,0,0,28,7.284
306,0,0,0,23,7.383
307,0,0,1,13,8.128
308,0,0,0,22,7.482
309,0,0,1,22,7.454
310,0,1,1,21,7.345
311,0,0,0,24,7.333
312,0,0,1,21,7.716
313,0,1,1,20,7.361
314,0,1,1,21,6.918
315,0,0,0,16,7.822
316,0,0,1,22,7.489
317,0,0,1,25,7.372
318,0,0,0,28,7.151
319,0,0,1,16,7.915
320,0,0,0,25,7.274
321,0,0,0,26,7.09
322,0,0,0,21,7.589
323,0,0,0,22,7.547
324,0,0,1,19,7.658
325,0,0,0,22,7.53
326,0,0,0,23,7.471
327,0,0,1,16,7.908
328,0,0,1,24,7.457
329,0,0,0,22,7.463
330,0,0,0,16,7.978
331,0,0,0,19,7.707
332,0,0,1,28,7.119
333,0,2,0,25,6.911
334,0,0,1,19,7.78
335,0,0,1,20,7.591
336,0,0,0,23,7.437
337,0,0,1,22,7.38
338,0,0,1,23,7.477
339,0,1,0,18,7.632
340,0,0,1,18,7.869
341,0,0,0,20,7.556
342,0,0,0,24,7.307
343,0,0,1,20,7.506
344,0,1,0,23,6.959
345,0,0,0,21,7.49
346,0,1,0,22,7.463
347,0,0,0,20,7.635
348,0,0,0,13,8.096
349,0,0,0,18,7.855
350,0,0,1,27,7.235
351,0,1,0,9,8.217
352,0,0,0,22,7.441
353,0,1,0,23,7.189
354,0,0,0,27,7.169
355,0,0,0,16,7.855
356,0,0,0,26,7.173
357,0,0,0,23,7.497
358,0,0,0,24,7.357
359,0,0,0,30,6.809
360,0,1,0,24,7.08
361,0,1,0,20,7.432
362,0,0,1,20,7.765
363,0,0,0,27,7.196
364,0,1,1,23,7.006
365,1,0,0,15,4.951
366,0,0,1,17,4.665
367,0,0,0,27,7.215
368,0,1,0,22,7.141
369,0,1,1,18,7.583
370,0,0,0,21,7.584
371,0,0,0,19,7.667
372,0,0,0,23,7.598
373,0,0,1,23,7.285
374,0,0,0,22,7.473
375,1,1,1,0,0
376,0,2,0,23,6.737
377,0,0,1,18,7.802
378,0,0,0,22,7.6
379,0,0,0,12,8.092
380,0,0,0,18,7.661
381,0,0,0,18,7.714
382,0,0,0,16,7.993
383,0,0,0,18,7.717
384,0,0,0,20,7.61
385,0,0,1,26,7.255
386,0,1,1,26,6.904
387,0,1,0,19,7.529
388,0,0,0,20,7.656
389,0,0,0,18,7.756
390,0,0,0,15,7.98
391,0,1,0,24,7.115
392,0,0,0,29,7.148
393,0,1,0,24,7.252
394,0,1,0,23,7.269
395,0,0,1,21,7.729
396,0,0,0,23,7.401
397,0,0,1,21,7.485
398,0,0,1,22,7.491
399,0,0,0,26,7.114
400,0,1,1,21,7.249
401,0,1,1,21,7.158
402,0,0,1,19,7.794
403,0,0,0,23,7.358
404,0,0,1,25,7.296
405,1,1,0,20,6.244
406,0,0,0,13,4.531
407,0,0,0,20,7.591
408,0,0,1,21,7.5
