Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,0,55,5.835
2,0,0,0,56,5.757
3,0,0,0,52,5.962
4,0,0,0,54,5.724
5,0,2,0,53,5.36
6,0,0,0,55,5.593
7,0,1,0,52,5.708
8,0,0,0,54,5.785
9,0,0,1,50,6.02
10,0,0,1,55,5.781
11,0,0,0,56,5.754
12,0,0,0,57,5.633
13,0,1,2,53,5.371
14,0,0,1,56,5.841
15,0,1,0,54,5.971
16,0,0,0,55,5.681
17,0,0,0,54,5.978
18,0,0,0,55,5.654
19,0,0,1,56,5.628
20,0,1,2,51,5.626
21,1,0,1,0,0
22,0,0,0,54,5.689
23,0,0,0,53,5.952
24,0,1,1,56,5.533
25,1,0,1,18,2.131
26,0,0,0,54,5.375
27,0,0,1,56,5.66
28,0,0,0,59,5.6
29,0,0,0,51,5.999
30,0,0,0,57,5.6
31,0,0,0,50,6.049
32,0,0,1,51,5.895
33,0,0,0,53,5.876
34,0,0,0,57,5.709
35,0,0,0,51,6.064
36,0,0,0,52,5.984
37,0,0,0,57,5.66
38,0,0,1,54,5.823
39,0,0,1,56,5.616
40,0,0,0,58,5.575
41,0,0,0,54,5.702
42,0,0,0,52,6.061
43,0,0,1,52,6.07
44,0,1,0,50,5.962
45,0,0,1,53,5.742
46,0,0,1,56,5.819
47,0,0,0,55,5.795
48,0,0,1,49,6.153
49,0,0,0,58,5.671
50,0,0,2,56,5.709
51,0,0,0,56,5.746
52,0,0,0,55,5.777
53,0,0,2,55,5.813
54,1,0,1,22,2.179
55,0,0,1,52,5.725
56,0,0,0,54,5.864
57,0,0,0,52,5.831
58,0,0,1,53,5.794
59,0,0,0,51,6.073
60,0,1,1,50,5.68
61,0,0,0,58,5.61
62,0,0,0,55,5.917
63,0,1,0,53,5.872
64,0,0,2,57,5.465
65,0,1,0,57,5.511
66,0,0,0,55,5.917
67,0,1,1,54,5.993
68,0,0,1,54,5.721
69,0,0,0,56,5.544
70,0,0,2,55,5.648
71,0,0,0,55,5.601
72,0,0,0,52,6.075
73,0,0,0,55,5.82
74,1,0,0,0,0
75,1,0,1,35,3.35
76,0,0,0,24,2.495
77,0,0,0,58,5.627
78,0,0,0,56,5.772
79,0,1,1,54,5.807
80,0,0,0,55,5.745
81,0,0,0,58,5.832
82,0,1,0,51,5.643
83,0,0,0,57,5.536
84,0,0,0,57,5.583
85,0,0,1,53,5.979
86,0,0,0,56,5.607
87,0,0,0,53,5.968
88,0,0,0,55,5.747
89,0,2,0,56,5.238
90,0,0,0,55,5.755
91,0,0,0,53,5.972
92,0,0,0,54,5.909
93,0,0,0,54,5.933
94,0,0,1,55,5.885
95,0,1,1,55,5.272
96,0,0,1,56,5.743
97,0,0,1,56,5.756
98,0,0,1,53,6.009
99,0,1,0,55,5.437
100,0,1,0,53,5.668
101,0,0,0,52,5.761
102,0,0,0,52,5.874
103,0,0,1,53,5.982
104,0,0,0,53,5.881
105,0,0,1,53,5.771
106,0,0,2,53,5.777
107,0,0,2,53,5.639
108,0,1,0,53,5.582
109,0,1,0,54,5.751
110,0,0,1,56,5.629
111,0,0,1,56,5.7
112,0,0,1,56,5.627
113,0,0,0,54,5.853
114,0,0,0,55,5.727
115,0,0,0,54,5.946
116,0,2,0,55,5.668
117,0,0,1,49,6.011
118,0,0,2,51,5.979
119,0,0,0,57,5.684
120,0,0,0,53,6.067
121,0,0,1,52,5.989
122,0,0,1,57,5.475
123,0,0,0,55,5.905
124,0,0,0,56,5.796
125,0,0,0,52,5.971
126,0,0,1,53,5.993
127,0,0,1,54,5.965
128,0,0,0,54,5.9
129,0,0,0,57,5.617
130,0,0,0,55,5.725
131,0,0,0,58,5.635
132,0,1,1,52,5.893
133,1,0,1,0,0
134,0,1,0,49,5.881
135,0,0,0,56,5.809
136,0,1,0,57,5.706
137,0,0,1,53,5.843
138,0,0,1,51,5.989
139,0,1,1,58,5.483
140,0,0,0,57,5.749
141,0,0,2,56,5.809
142,0,0,1,51,5.998
143,0,0,0,53,5.857
144,0,0,1,56,5.757
145,0,0,0,53,5.888
146,0,0,0,56,5.772
147,0,0,0,56,5.858
148,0,0,0,54,5.95
149,0,0,0,54,5.905
150,0,0,0,54,5.777
151,0,0,1,55,5.753
152,0,0,0,56,5.668
153,0,0,0,56,5.897
154,0,0,0,57,5.684
155,0,0,0,56,5.549
156,0,0,2,55,5.8
157,0,0,1,54,5.743
158,0,0,2,52,6.077
159,0,0,0,56,5.644
160,0,0,0,52,5.912
161,0,0,1,52,5.886
162,0,0,2,53,5.831
163,0,0,1,56,5.671
164,0,0,1,53,6.022
165,0,0,0,53,5.918
166,1,0,1,1,0.168
167,0,0,0,53,5.895
168,0,1,1,51,5.685
169,0,0,0,57,5.714
170,0,2,0,54,5.57
171,0,0,0,53,5.925
172,0,0,0,55,5.818
173,0,0,0,52,5.801
174,0,0,0,55,5.767
175,0,0,0,56,5.633
176,0,0,1,51,6.058
177,0,0,1,53,5.801
178,0,0,0,55,5.701
179,0,0,0,55,5.734
180,0,0,0,53,6.147
181,0,0,0,53,5.82
182,0,1,0,57,5.689
183,0,0,0,57,5.684
184,0,1,0,54,5.665
185,0,0,0,53,5.797
186,0,0,2,53,5.691
187,0,0,1,52,5.803
188,0,2,0,55,5.556
189,0,0,0,54,5.817
190,1,0,0,40,4.102
191,0,0,0,29,2.913
192,0,0,1,56,5.701
193,0,0,1,54,5.811
194,0,0,0,52,5.907
195,0,0,0,56,5.799
196,0,0,1,55,5.808
197,0,1,2,51,5.648
198,0,0,0,55,5.926
199,0,0,0,56,5.801
200,0,0,0,56,5.731
201,0,0,0,54,5.733
202,0,0,1,54,5.818
203,0,0,1,56,5.652
204,1,0,0,43,4.387
205,0,1,1,23,2.227
206,0,0,0,56,5.717
207,0,0,0,52,5.869
208,0,1,1,53,5.567
209,0,0,0,54,5.554
210,0,1,1,55,5.521
211,0,0,1,48,6.084
212,0,0,1,54,5.741
213,0,0,0,54,5.879
214,0,0,0,53,5.774
215,0,0,1,55,5.805
216,0,0,0,56,5.744
