Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
1,0,0,1,11,8.079
2,0,0,2,12,7.958
3,0,0,0,10,8.119
4,0,0,0,11,8.01
5,0,1,0,12,7.502
6,0,0,0,13,7.982
7,0,0,1,11,8.024
8,0,0,0,14,7.921
9,0,0,1,13,8.008
10,0,0,2,15,7.794
11,0,0,1,14,7.925
12,0,0,1,14,7.823
13,0,1,0,8,8.021
14,0,0,0,10,8.149
15,0,0,0,8,8.199
16,0,0,0,15,7.913
17,0,0,0,14,7.747
18,0,0,0,15,7.85
19,0,0,0,13,7.956
20,0,0,0,15,7.962
21,0,0,0,11,8.077
22,0,1,0,13,7.963
23,0,0,1,18,7.545
24,0,0,0,19,7.617
25,0,0,1,15,7.925
26,0,0,1,16,7.772
27,0,0,0,13,7.89
28,0,0,0,13,7.904
29,0,0,0,19,7.491
30,0,0,1,10,8.199
31,0,1,0,12,7.824
32,0,1,1,17,7.664
33,0,0,0,14,7.835
34,0,0,0,7,8.36
35,0,0,1,15,7.892
36,0,0,0,16,7.774
37,0,0,1,10,8.072
38,0,0,0,16,7.755
39,0,0,3,10,8.076
40,0,0,0,13,7.992
41,0,0,0,9,8.251
42,0,0,0,18,7.599
43,0,1,0,18,7.488
44,0,0,0,10,8.211
45,0,1,2,12,7.715
46,0,0,2,15,7.797
47,0,0,0,13,8.127
48,0,0,0,10,8.108
49,0,0,0,16,7.918
50,0,0,0,21,7.534
51,0,0,0,15,7.931
52,0,0,2,19,7.606
53,0,0,0,10,8.062
54,0,1,0,10,8.132
55,0,0,0,13,7.961
56,0,1,0,16,7.371
57,0,0,1,11,8.064
58,0,1,1,11,7.92
59,0,0,0,16,7.659
60,0,0,2,16,7.858
61,0,0,0,19,7.523
62,0,0,0,7,8.37
63,0,0,0,11,7.998
64,0,0,0,14,8.118
65,0,0,1,10,8.247
66,0,1,2,12,7.499
67,0,1,1,14,7.68
68,0,2,2,12,7.464
69,0,0,1,13,7.983
70,0,0,1,13,7.754
71,0,0,0,14,8.01
72,0,0,1,12,8.131
73,0,1,1,12,7.989
74,0,0,0,13,8.055
75,0,0,0,14,7.791
76,0,0,1,13,7.902
77,0,0,0,14,7.961
78,0,0,0,16,7.73
79,0,0,0,17,7.764
80,0,0,1,14,7.939
81,0,1,0,12,7.827
82,0,0,1,12,7.979
83,0,0,1,18,7.685
84,0,0,0,15,7.924
85,0,0,2,12,8.077
86,0,0,0,14,7.857
87,0,0,2,10,8.121
88,0,0,0,12,8.009
89,0,0,1,14,7.859
90,0,0,2,17,7.682
91,0,0,0,17,7.647
92,0,0,0,11,8.105
93,0,1,1,15,7.641
94,0,0,1,13,8.04
95,0,0,0,9,8.255
96,0,1,0,16,7.69
97,0,0,0,11,8.03
98,0,1,1,11,7.981
99,0,0,0,14,7.88
100,0,0,0,16,7.957
101,0,0,0,12,8.046
102,0,0,1,17,7.69
103,0,1,0,16,7.858
104,0,0,0,14,7.932
105,0,0,1,13,7.935
106,0,0,0,11,8.011
107,0,0,3,13,7.93
108,0,0,0,20,7.681
109,0,0,0,14,7.868
110,0,0,0,13,7.977
111,0,0,1,10,8.097
112,0,0,1,15,7.828
113,0,0,0,9,8.472
114,0,0,1,9,8.213
115,0,0,0,13,7.932
116,0,0,1,12,8.048
117,0,0,0,15,7.876
118,0,0,1,16,7.913
119,0,0,0,18,7.653
120,0,0,1,9,8.165
121,0,0,0,12,8.179
122,0,0,0,15,8.064
123,0,0,1,8,8.302
124,0,0,0,14,7.896
125,0,0,0,12,8.071
126,0,1,1,18,7.493
127,0,0,0,8,8.207
128,0,0,1,17,7.726
129,0,0,1,14,7.79
130,0,1,0,10,7.916
131,0,0,0,9,8.182
132,0,0,2,16,7.798
133,0,0,1,12,8.098
134,0,0,0,15,7.803
135,0,0,1,13,7.969
136,0,1,2,15,7.614
137,0,0,4,16,7.73
138,0,0,1,7,8.469
139,0,0,0,12,7.928
140,0,1,0,13,7.724
141,0,0,0,11,8.163
142,0,0,0,15,7.881
143,0,0,0,13,7.969
144,0,0,0,13,7.887
145,0,0,0,12,7.966
146,0,1,1,12,7.813
147,0,0,0,14,7.948
148,0,0,1,12,8.15
149,0,0,1,11,8.141
150,0,1,1,15,7.827
151,0,0,0,10,8.131
152,0,0,2,10,8.099
153,0,0,0,12,8.148
154,0,0,0,18,7.553
155,0,0,0,18,7.636
156,0,0,0,18,7.741
157,0,0,0,12,7.978
158,0,1,0,12,7.829
159,0,0,0,13,7.985
160,0,1,1,17,7.596
161,0,0,1,13,8.007
162,0,0,3,13,7.865
163,0,0,1,13,7.872
164,0,0,0,12,8.21
165,0,0,1,14,7.801
166,0,0,1,12,8.013
167,0,0,0,11,8.007
168,0,0,0,14,8.055
169,0,0,1,11,8.047
170,0,0,1,13,8.006
171,0,0,0,11,8.045
172,0,0,2,10,8.143
173,0,0,0,13,7.944
174,0,0,0,18,7.519
175,0,0,2,17,7.654
176,0,0,0,14,7.918
177,0,0,0,10,8.208
178,0,0,1,15,7.849
179,0,0,0,10,8.132
180,0,0,0,13,8.009
181,0,0,1,13,7.902
182,0,0,0,10,8.058
183,0,0,0,11,8.23
184,0,0,1,14,7.814
185,0,1,2,15,7.309
186,0,0,0,18,7.699
187,0,1,1,13,7.617
